epoch,train_loss,val_accuracy,model
1,1.807220637321472,0.9319999814033508,ResNet-50 head
2,1.0098442492485047,0.9539999961853027,ResNet-50 head
3,0.6064555544853211,0.9610000252723694,ResNet-50 head
4,0.4077574365139008,0.9620000123977661,ResNet-50 head
5,0.30159439659118653,0.9629999995231628,ResNet-50 head
6,0.23843244123458862,0.9670000076293945,ResNet-50 head
7,0.19645490014553071,0.9710000157356262,ResNet-50 head
8,0.16665129387378694,0.9700000286102295,ResNet-50 head
9,0.1443118145465851,0.9700000286102295,ResNet-50 head
10,0.1268099942803383,0.9700000286102295,ResNet-50 head
11,0.11301316368579864,0.972000002861023,ResNet-50 head
12,0.10139316183328628,0.9700000286102295,ResNet-50 head
13,0.09177450335025787,0.9710000157356262,ResNet-50 head
14,0.08372809797525406,0.972000002861023,ResNet-50 head
15,0.07671828520298005,0.972000002861023,ResNet-50 head
16,0.07077541440725327,0.972000002861023,ResNet-50 head
1,1.4262704572677611,0.9399999976158142,ViT-B/16 head
2,0.45455741715431214,0.9670000076293945,ViT-B/16 head
3,0.2317920414209366,0.9710000157356262,ViT-B/16 head
4,0.1606341150999069,0.9710000157356262,ViT-B/16 head
5,0.12679037749767302,0.972000002861023,ViT-B/16 head
6,0.10544762128591538,0.9729999899864197,ViT-B/16 head
7,0.09016154372692108,0.9750000238418579,ViT-B/16 head
8,0.07867775028944016,0.9750000238418579,ViT-B/16 head
9,0.06933204644918442,0.9750000238418579,ViT-B/16 head
10,0.06178868538141251,0.9750000238418579,ViT-B/16 head
11,0.05541503003239632,0.9750000238418579,ViT-B/16 head
12,0.0498720765709877,0.9760000109672546,ViT-B/16 head
13,0.04533425602316856,0.9779999852180481,ViT-B/16 head
14,0.041473682105541226,0.9769999980926514,ViT-B/16 head
15,0.037870289146900174,0.9779999852180481,ViT-B/16 head
16,0.03491302987933159,0.9779999852180481,ViT-B/16 head
17,0.03211941541731358,0.9779999852180481,ViT-B/16 head
18,0.029785568296909332,0.9789999723434448,ViT-B/16 head
19,0.027650729671120644,0.9800000190734863,ViT-B/16 head
20,0.025745600633323193,0.9800000190734863,ViT-B/16 head
21,0.024153686344623566,0.9789999723434448,ViT-B/16 head
22,0.0226201174557209,0.9800000190734863,ViT-B/16 head
23,0.021153947442770004,0.9789999723434448,ViT-B/16 head
24,0.019879698917269706,0.9789999723434448,ViT-B/16 head
1,2.259252653121948,0.7910000085830688,CLIP head
2,2.170135995864868,0.9670000076293945,CLIP head
3,2.0839798278808592,0.9810000061988831,CLIP head
4,2.000062150001526,0.984000027179718,CLIP head
5,1.9186437549591064,0.9829999804496765,CLIP head
6,1.839793222427368,0.9829999804496765,CLIP head
7,1.7633348464965821,0.9819999933242798,CLIP head
8,1.6895275287628173,0.984000027179718,CLIP head
9,1.618150152206421,0.9829999804496765,CLIP head
