x,y,condition,label,official_test_index
-0.49800748,-52.38657,clean,3,632
53.51383,-2.082365,clean,9,131
-21.406744,-56.376312,clean,7,7081
51.568344,3.0760562,clean,9,1836
3.4803405,54.821243,clean,0,6437
13.593,47.9244,clean,0,6609
-9.686649,-48.057453,clean,7,3467
8.713043,-54.659836,clean,3,1401
27.990196,13.448899,clean,2,1839
16.488808,-54.48477,clean,3,4168
37.770584,14.415644,clean,2,35
52.25042,38.0785,clean,8,4177
-9.121968,-54.588898,clean,7,7270
17.840298,-32.81901,clean,5,2265
-14.541445,-52.775833,clean,7,3288
48.794132,43.587215,clean,8,5451
-6.516529,-51.365345,clean,3,4023
-27.62594,-21.976473,clean,1,261
18.937487,-31.624352,clean,5,4570
22.966625,-44.11896,clean,5,4966
-31.081545,-29.4415,clean,1,7955
-2.7271583,0.7847397,clean,4,6288
46.163486,44.292927,clean,8,7810
-14.612978,-58.19673,clean,7,1927
-33.271606,-19.131811,clean,1,1871
17.084295,-34.225674,clean,5,6922
-4.4767714,-0.05074381,clean,4,3512
17.08475,-12.691193,clean,6,4754
38.46493,1.0190088,clean,2,714
48.328285,42.531265,clean,8,2191
8.928327,49.979004,clean,0,4615
53.73003,39.697826,clean,8,4662
50.193344,-5.277687,clean,9,5915
14.977958,-17.762814,clean,4,766
22.778944,22.16337,clean,2,5218
52.623497,39.365685,clean,8,2340
37.068737,40.869694,clean,8,1954
41.550087,43.952976,clean,8,7875
19.67074,-14.827018,clean,6,3418
49.6295,-1.424148,clean,9,5572
-19.861216,-54.021126,clean,7,5977
-29.214823,-23.459585,clean,1,5123
53.925034,5.2785587,clean,9,5851
53.91466,7.139136,clean,9,4094
14.68278,-9.825098,clean,6,4254
-15.561553,-56.380592,clean,7,2501
-31.40948,-29.027544,clean,1,6938
-6.2583327,-0.14361335,clean,4,171
15.714291,-55.428516,clean,3,4215
52.10505,40.384758,clean,8,5705
-10.668409,0.7796105,clean,4,3458
-10.135639,-50.917103,clean,7,1220
52.882614,38.19535,clean,8,962
21.992062,-37.603462,clean,5,2950
18.367233,-41.416832,clean,5,2623
10.680188,47.779877,clean,0,4539
1.3851978,55.87037,clean,0,1553
-8.66381,0.69735086,clean,4,4740
1.5306041,45.991615,clean,0,6844
-11.607527,-51.024677,clean,7,2668
-10.8641,-52.28491,clean,7,3153
-8.328831,-6.6408215,clean,4,5135
-2.9585268,-50.788063,clean,3,2291
-21.50178,-26.336174,clean,1,116
-0.31957597,-57.606506,clean,3,7797
-1.3876028,-40.266922,clean,3,4609
4.251469,46.835957,clean,0,81
19.25902,-16.681576,clean,6,5580
38.344006,15.076982,clean,2,3024
23.766577,-38.973526,clean,5,2766
46.158497,37.760548,clean,8,5000
26.677538,-16.346256,clean,6,2610
15.783611,51.70139,clean,0,2024
-12.300626,3.7595408,clean,4,6097
27.768991,-12.794518,clean,6,964
11.016522,50.99671,clean,0,7634
48.338585,45.355858,clean,8,6434
25.935005,21.246424,clean,2,5183
18.51395,48.103252,clean,0,6986
16.392178,-33.743244,clean,5,645
11.492123,48.729206,clean,0,3347
28.491594,8.241201,clean,2,5677
49.883484,43.5863,clean,8,3412
-33.72465,-28.406988,clean,1,3937
11.094889,-6.8063235,clean,6,873
52.715374,2.3038044,clean,9,2167
0.82117194,-54.22118,clean,3,6490
16.417912,-50.871674,clean,3,738
30.368082,11.8660965,clean,2,6616
27.609886,-12.809414,clean,6,4093
42.564495,-4.8545017,clean,9,5788
46.98511,34.17984,clean,8,7818
-15.0709,-25.08099,clean,1,304
39.195385,13.836917,clean,2,2082
-14.625966,-49.872837,clean,7,2746
-0.6462766,-1.3182304,clean,4,7944
47.44559,39.758617,clean,8,6689
53.234394,-7.302709,clean,9,2414
16.858624,-10.715477,clean,6,3779
-29.141449,-37.29997,clean,1,2095
11.721738,49.392414,clean,0,7262
42.816624,39.587788,clean,8,5694
-1.1747683,-42.6374,clean,5,7413
-25.70883,-22.013744,clean,1,6805
-17.552055,-54.64545,clean,7,3446
2.310557,-36.173927,clean,5,2807
-5.6917033,-0.95039636,clean,4,7940
-11.282178,-52.153755,clean,7,4172
14.547013,-50.027832,clean,3,7744
27.268414,11.433423,clean,2,1586
47.519344,43.76852,clean,8,7999
-32.2167,-32.89401,clean,1,6349
-24.466194,-22.330406,clean,1,6594
43.359398,42.791397,clean,8,2109
-32.466007,-26.377897,clean,1,3079
-30.280539,-30.932213,clean,1,2070
21.713896,-43.33539,clean,5,319
2.378126,56.03202,clean,0,2888
19.29449,-30.65831,clean,5,6224
10.438558,-40.20443,clean,5,3353
29.662415,9.971401,clean,2,6244
-15.883974,-53.156223,clean,7,4704
19.867262,-32.853172,clean,5,2427
55.908504,1.18915,clean,9,7995
-3.4578054,-1.2580805,clean,4,1124
-32.972755,-19.446564,clean,1,6733
55.244164,4.542628,clean,9,2062
45.68895,-6.2932763,clean,9,805
-2.8428633,-48.297844,clean,3,2028
29.85331,15.711071,clean,2,2392
29.27942,-14.553153,clean,6,3292
-12.779153,-49.834175,clean,7,1440
-28.218525,-32.993935,clean,1,1115
51.527775,35.98236,clean,8,4242
49.930458,36.939373,clean,8,2230
26.572227,6.483381,clean,2,3163
28.806448,-6.1959915,clean,6,545
25.421595,-32.99741,clean,5,3863
-17.618715,-52.575302,clean,7,4748
-15.28022,3.0158358,clean,4,2399
15.035743,-14.780561,clean,6,4341
-11.7854395,-3.963143,clean,4,3078
-11.435556,4.161278,clean,4,3763
18.036266,-14.674931,clean,6,2958
29.679272,-8.804464,clean,6,6381
50.458282,40.511658,clean,8,1640
52.792496,41.47232,clean,8,1783
-1.6195654,-55.5385,clean,3,3914
26.079094,-6.45366,clean,6,1534
19.01872,-40.64932,clean,5,685
12.868759,49.172974,clean,0,4617
57.302574,5.916152,clean,9,5508
40.512905,6.6845584,clean,9,1022
-22.178782,-52.81428,clean,1,1230
-13.451828,3.9730036,clean,4,7475
26.132427,10.301167,clean,2,5756
-1.7673626,-3.4787903,clean,4,3122
-30.969995,-25.487244,clean,1,7202
52.34217,-6.5705705,clean,9,4723
11.978352,-32.013153,clean,5,1552
55.33003,-1.2016612,clean,9,603
10.965971,-52.991722,clean,3,2861
27.300888,14.873917,clean,2,6426
-12.108468,3.0789309,clean,4,7864
16.343956,-15.142672,clean,6,5729
15.103886,-32.984573,clean,5,7474
-33.110397,-30.285791,clean,1,4298
5.5115204,51.04736,clean,0,1175
27.696125,9.896774,clean,2,3454
-2.0847666,-54.79683,clean,3,2754
-6.8366537,-7.9178853,clean,4,855
-12.561532,-51.576447,clean,7,2854
-32.25824,-25.117004,clean,1,5092
54.833176,8.231435,clean,9,5590
8.30374,-53.18788,clean,3,4463
34.378475,6.4174666,clean,2,5318
15.306473,-10.371809,clean,6,3515
-6.3641815,-1.4230717,clean,4,4642
53.459198,4.254925,clean,9,852
51.343296,33.81608,clean,8,1247
24.058079,8.691239,clean,2,7084
47.896492,-1.0342126,clean,9,5301
19.242027,-15.3304405,clean,6,5082
-9.379657,3.2628684,clean,4,5077
-3.8762364,-51.358555,clean,3,1563
-16.259727,-43.440163,clean,7,29
-15.265134,-54.653748,clean,7,3867
28.126064,-14.958593,clean,6,4620
29.839745,8.5864725,clean,2,4065
19.53888,-42.19983,clean,5,1095
-0.19228771,-55.70753,clean,3,4229
6.7410617,-37.064358,clean,3,3562
49.49315,40.480915,clean,8,2342
23.216417,-9.743176,clean,6,1667
-32.13543,-32.850193,clean,1,7033
-9.408358,-40.030094,clean,7,1771
53.3688,38.403637,clean,8,3157
18.318624,-51.033405,clean,3,3851
-8.334784,-52.192352,clean,7,1287
8.937346,46.750313,clean,0,7320
24.058985,-18.011852,clean,6,7600
