model,condition,prediction_unchanged,mean_cosine,n_pairs
CLIP ViT-B/32 + linear head,cue_conflict,False,0.7099484,62
CLIP ViT-B/32 + linear head,cue_conflict,True,0.7691085,138
CLIP ViT-B/32 + linear head,grayscale,False,0.8606386,26
CLIP ViT-B/32 + linear head,grayscale,True,0.89701366,474
CLIP ViT-B/32 + linear head,patch_shuffle,False,0.71218544,105
CLIP ViT-B/32 + linear head,patch_shuffle,True,0.74365133,395
CLIP ViT-B/32 + linear head,translation_08_down,False,0.97500503,7
CLIP ViT-B/32 + linear head,translation_08_down,True,0.9811643,493
CLIP ViT-B/32 + linear head,translation_08_left,False,0.97860676,11
CLIP ViT-B/32 + linear head,translation_08_left,True,0.9813052,489
CLIP ViT-B/32 + linear head,translation_08_right,False,0.9758347,7
CLIP ViT-B/32 + linear head,translation_08_right,True,0.98128814,493
CLIP ViT-B/32 + linear head,translation_08_up,False,0.9734853,10
CLIP ViT-B/32 + linear head,translation_08_up,True,0.9809002,490
CLIP ViT-B/32 + linear head,translation_16_down,False,0.9620238,11
CLIP ViT-B/32 + linear head,translation_16_down,True,0.97141606,489
CLIP ViT-B/32 + linear head,translation_16_left,False,0.9372995,9
CLIP ViT-B/32 + linear head,translation_16_left,True,0.96579415,491
CLIP ViT-B/32 + linear head,translation_16_right,False,0.9482499,12
CLIP ViT-B/32 + linear head,translation_16_right,True,0.96618307,488
CLIP ViT-B/32 + linear head,translation_16_up,False,0.9629271,11
CLIP ViT-B/32 + linear head,translation_16_up,True,0.96997607,489
CLIP ViT-B/32 + linear head,translation_32_down,False,0.9778112,7
CLIP ViT-B/32 + linear head,translation_32_down,True,0.97632986,493
CLIP ViT-B/32 + linear head,translation_32_left,False,0.9415245,14
CLIP ViT-B/32 + linear head,translation_32_left,True,0.963879,486
CLIP ViT-B/32 + linear head,translation_32_right,False,0.93725276,8
CLIP ViT-B/32 + linear head,translation_32_right,True,0.96266294,492
CLIP ViT-B/32 + linear head,translation_32_up,False,0.956178,10
CLIP ViT-B/32 + linear head,translation_32_up,True,0.974886,490
CLIP ViT-B/32 zero-shot,cue_conflict,False,0.71914005,70
CLIP ViT-B/32 zero-shot,cue_conflict,True,0.7677998,130
CLIP ViT-B/32 zero-shot,grayscale,False,0.85629606,23
CLIP ViT-B/32 zero-shot,grayscale,True,0.8969943,477
CLIP ViT-B/32 zero-shot,patch_shuffle,False,0.7149434,114
CLIP ViT-B/32 zero-shot,patch_shuffle,True,0.74357045,386
CLIP ViT-B/32 zero-shot,translation_08_down,False,0.97878885,10
