model,displacement,direction,accuracy,prediction_consistency,accuracy_change_pp
ResNet-50 + linear head,0,clean,0.9760000109672546,1.0,0.0
ViT-B/16 + linear head,0,clean,0.9739999771118164,1.0,0.0
CLIP ViT-B/32 + linear head,0,clean,0.972000002861023,1.0,0.0
CLIP ViT-B/32 zero-shot,0,clean,0.9679999947547913,1.0,0.0
ResNet-50 + linear head,8,left,0.9700000286102295,0.9900000095367432,-0.5999982357025146
ResNet-50 + linear head,8,right,0.9700000286102295,0.9940000176429749,-0.5999982357025146
ResNet-50 + linear head,8,up,0.972000002861023,0.9940000176429749,-0.40000081062316895
ResNet-50 + linear head,8,down,0.9700000286102295,0.9919999837875366,-0.5999982357025146
ResNet-50 + linear head,16,left,0.9660000205039978,0.9879999756813049,-0.9999990463256836
ResNet-50 + linear head,16,right,0.9679999947547913,0.9900000095367432,-0.8000016212463379
ResNet-50 + linear head,16,up,0.9679999947547913,0.9919999837875366,-0.8000016212463379
ResNet-50 + linear head,16,down,0.9700000286102295,0.9919999837875366,-0.5999982357025146
ResNet-50 + linear head,32,left,0.9660000205039978,0.9860000014305115,-0.9999990463256836
ResNet-50 + linear head,32,right,0.9599999785423279,0.984000027179718,-1.6000032424926758
ResNet-50 + linear head,32,up,0.9700000286102295,0.9900000095367432,-0.5999982357025146
ResNet-50 + linear head,32,down,0.9639999866485596,0.9860000014305115,-1.2000024318695068
ViT-B/16 + linear head,8,left,0.9739999771118164,0.9800000190734863,0.0
ViT-B/16 + linear head,8,right,0.9800000190734863,0.9860000014305115,0.6000041961669922
ViT-B/16 + linear head,8,up,0.9739999771118164,0.9779999852180481,0.0
ViT-B/16 + linear head,8,down,0.9800000190734863,0.9819999933242798,0.6000041961669922
ViT-B/16 + linear head,16,left,0.972000002861023,0.9900000095367432,-0.1999974250793457
ViT-B/16 + linear head,16,right,0.9679999947547913,0.9879999756813049,-0.5999982357025146
ViT-B/16 + linear head,16,up,0.972000002861023,0.984000027179718,-0.1999974250793457
ViT-B/16 + linear head,16,down,0.9819999933242798,0.9879999756813049,0.8000016212463379
ViT-B/16 + linear head,32,left,0.9660000205039978,0.9760000109672546,-0.7999956607818604
ViT-B/16 + linear head,32,right,0.9580000042915344,0.9779999852180481,-1.5999972820281982
ViT-B/16 + linear head,32,up,0.9639999866485596,0.972000002861023,-0.9999990463256836
ViT-B/16 + linear head,32,down,0.9679999947547913,0.9779999852180481,-0.5999982357025146
CLIP ViT-B/32 + linear head,8,left,0.984000027179718,0.9779999852180481,1.2000024318695068
CLIP ViT-B/32 zero-shot,8,left,0.9679999947547913,0.984000027179718,0.0
CLIP ViT-B/32 + linear head,8,right,0.9779999852180481,0.9860000014305115,0.5999982357025146
CLIP ViT-B/32 zero-shot,8,right,0.9660000205039978,0.9819999933242798,-0.1999974250793457
CLIP ViT-B/32 + linear head,8,up,0.9800000190734863,0.9800000190734863,0.8000016212463379
CLIP ViT-B/32 zero-shot,8,up,0.9700000286102295,0.9779999852180481,0.20000338554382324
CLIP ViT-B/32 + linear head,8,down,0.9819999933242798,0.9860000014305115,0.9999990463256836
CLIP ViT-B/32 zero-shot,8,down,0.972000002861023,0.9800000190734863,0.40000081062316895
CLIP ViT-B/32 + linear head,16,left,0.9679999947547913,0.9819999933242798,-0.40000081062316895
CLIP ViT-B/32 zero-shot,16,left,0.9700000286102295,0.984000027179718,0.20000338554382324
CLIP ViT-B/32 + linear head,16,right,0.9779999852180481,0.9760000109672546,0.5999982357025146
CLIP ViT-B/32 zero-shot,16,right,0.9760000109672546,0.9800000190734863,0.8000016212463379
CLIP ViT-B/32 + linear head,16,up,0.9760000109672546,0.9779999852180481,0.40000081062316895
CLIP ViT-B/32 zero-shot,16,up,0.9700000286102295,0.9760000109672546,0.20000338554382324
CLIP ViT-B/32 + linear head,16,down,0.9819999933242798,0.9779999852180481,0.9999990463256836
CLIP ViT-B/32 zero-shot,16,down,0.9739999771118164,0.9779999852180481,0.5999982357025146
CLIP ViT-B/32 + linear head,32,left,0.9639999866485596,0.972000002861023,-0.8000016212463379
CLIP ViT-B/32 zero-shot,32,left,0.9539999961853027,0.9660000205039978,-1.3999998569488525
CLIP ViT-B/32 + linear head,32,right,0.972000002861023,0.984000027179718,0.0
CLIP ViT-B/32 zero-shot,32,right,0.9620000123977661,0.972000002861023,-0.5999982357025146
CLIP ViT-B/32 + linear head,32,up,0.9700000286102295,0.9800000190734863,-0.1999974250793457
CLIP ViT-B/32 zero-shot,32,up,0.9580000042915344,0.9779999852180481,-0.9999990463256836
CLIP ViT-B/32 + linear head,32,down,0.972000002861023,0.9860000014305115,0.0
CLIP ViT-B/32 zero-shot,32,down,0.949999988079071,0.9760000109672546,-1.8000006675720215
