x,y,condition,label,official_test_index
-27.137142,-26.20211,clean,3,632
45.0652,-11.577786,clean,9,131
-52.545906,1.0974464,clean,7,7081
55.67238,-17.175213,clean,9,1836
20.980984,47.233074,clean,0,6437
36.069756,40.707912,clean,0,6609
-45.042843,11.872072,clean,7,3467
-23.406654,-26.552603,clean,3,1401
15.870914,-33.809597,clean,2,1839
-18.267466,-30.359053,clean,3,4168
23.527039,-40.127556,clean,2,35
56.91908,11.535421,clean,8,4177
-45.970314,5.8432064,clean,7,7270
-15.332875,1.2957082,clean,5,2265
-40.92555,20.490538,clean,7,3288
56.042873,8.906155,clean,8,5451
-24.762018,-13.050426,clean,3,4023
-53.05127,-27.778526,clean,1,261
-11.791084,0.36027908,clean,5,4570
-9.588989,-14.457576,clean,5,4966
-59.63871,-16.166039,clean,1,7955
-17.134542,32.323315,clean,4,6288
51.3021,18.818087,clean,8,7810
-54.000164,14.685522,clean,7,1927
-25.692165,-2.4919224,clean,1,1871
-1.8836743,-7.483362,clean,5,6922
-22.315168,28.751041,clean,4,3512
1.2830375,14.725962,clean,6,4754
21.77603,-25.580236,clean,2,714
49.533726,14.220279,clean,8,2191
25.5348,44.14808,clean,0,4615
53.869698,19.127558,clean,8,4662
34.93445,-13.391245,clean,9,5915
-6.3262196,10.664858,clean,4,766
16.34577,-52.77674,clean,2,5218
60.685413,9.241834,clean,8,2340
41.652622,14.046575,clean,8,1954
50.522366,19.535748,clean,8,7875
6.84658,16.523014,clean,6,3418
36.910866,-5.1475954,clean,9,5572
-53.72544,2.3017788,clean,7,5977
-53.050587,-26.425863,clean,1,5123
55.862164,-18.551018,clean,9,5851
54.52331,-13.735933,clean,9,4094
-2.0983038,13.85758,clean,6,4254
-54.30966,14.252831,clean,7,2501
-60.201813,-14.901308,clean,1,6938
-22.83138,26.44985,clean,4,171
-40.035465,-10.632624,clean,3,4215
55.01714,18.188614,clean,8,5705
-15.868987,30.037752,clean,4,3458
-42.299973,20.777567,clean,7,1220
58.269894,10.839845,clean,8,962
-10.663915,-21.34984,clean,5,2950
-3.3291957,-12.28494,clean,5,2623
30.758083,42.134056,clean,0,4539
16.501041,43.282375,clean,0,1553
-20.258045,22.68453,clean,4,4740
26.98431,45.14736,clean,0,6844
-40.86311,21.289934,clean,7,2668
-41.30998,21.808746,clean,7,3153
-12.797061,22.621025,clean,4,5135
-26.631699,-18.249502,clean,3,2291
-48.464645,-22.366264,clean,1,116
-31.651955,-27.632471,clean,3,7797
-28.531387,-20.752659,clean,3,4609
31.640406,35.332226,clean,0,81
-0.48602647,13.06033,clean,6,5580
26.018456,-38.773205,clean,2,3024
-2.210009,-26.935244,clean,5,2766
46.270924,12.853625,clean,8,5000
4.673997,3.508452,clean,6,2610
29.856798,15.978238,clean,0,2024
-22.752068,21.69031,clean,4,6097
9.653236,3.1655843,clean,6,964
22.475718,44.252167,clean,0,7634
52.752583,18.14656,clean,8,6434
16.828102,-52.66896,clean,2,5183
39.465816,11.984504,clean,0,6986
-2.648891,-8.912378,clean,5,645
31.606083,41.63757,clean,0,3347
22.36875,-37.455338,clean,2,5677
54.458454,9.093366,clean,8,3412
-58.096436,-19.593748,clean,1,3937
-3.000392,23.289026,clean,6,873
32.89747,-5.6541452,clean,9,2167
-35.133736,-22.833124,clean,3,6490
-11.293655,-15.206254,clean,3,738
23.178328,-34.840202,clean,2,6616
9.424371,2.4270742,clean,6,4093
37.828915,-16.569742,clean,9,5788
61.01057,5.658511,clean,8,7818
-43.53455,-15.123546,clean,1,304
23.84035,-31.348806,clean,2,2082
-49.963486,9.658306,clean,7,2746
-17.85045,7.337452,clean,4,7944
55.81057,5.1204214,clean,8,6689
37.629665,1.5834304,clean,9,2414
-0.35512978,21.849138,clean,6,3779
-47.03043,-12.639548,clean,1,2095
30.671152,43.523075,clean,0,7262
53.066113,26.253298,clean,8,5694
-2.0267866,-28.018114,clean,5,7413
-52.372154,-27.964096,clean,1,6805
-41.027927,-1.4775101,clean,7,3446
-38.85586,-3.9214995,clean,5,2807
-21.762182,28.901539,clean,4,7940
-40.634056,22.081526,clean,7,4172
-6.723531,-26.591543,clean,3,7744
16.107971,-34.41666,clean,2,1586
55.02254,8.731631,clean,8,7999
-52.757797,-12.708864,clean,1,6349
-48.85659,-26.752766,clean,1,6594
51.28281,25.032845,clean,8,2109
-63.57185,-22.609858,clean,1,3079
-42.370525,-9.74041,clean,1,2070
-13.990169,-6.297128,clean,5,319
15.212385,43.56175,clean,0,2888
-12.0448675,0.99508274,clean,5,6224
-23.200111,-0.39052388,clean,5,3353
23.237871,-37.02923,clean,2,6244
-49.33645,8.3755865,clean,7,4704
-12.247796,0.32012966,clean,5,2427
46.398277,-14.270106,clean,9,7995
-20.828794,32.290245,clean,4,1124
-22.720192,-4.7710443,clean,1,6733
50.305325,-14.507594,clean,9,2062
36.775326,-11.548832,clean,9,805
-24.412104,-18.684126,clean,3,2028
26.786797,-37.272137,clean,2,2392
11.413035,7.628946,clean,6,3292
-52.906948,17.719765,clean,7,1440
-52.832092,-17.237963,clean,1,1115
61.9891,8.180477,clean,8,4242
58.423042,4.3990602,clean,8,2230
21.469925,-35.89533,clean,2,3163
16.752111,4.7389026,clean,6,545
2.238758,-13.021622,clean,5,3863
-52.573902,4.4302063,clean,7,4748
-15.760612,25.609383,clean,4,2399
6.4272113,15.248585,clean,6,4341
-17.366339,35.491623,clean,4,3078
-20.886074,25.527124,clean,4,3763
5.8095107,14.987592,clean,6,2958
14.459635,8.552405,clean,6,6381
47.577587,23.224653,clean,8,1640
49.648197,19.424892,clean,8,1783
-30.573029,-26.958063,clean,3,3914
13.965583,12.983464,clean,6,1534
-0.73304844,-13.715104,clean,5,685
31.918509,43.070946,clean,0,4617
50.610218,-13.712889,clean,9,5508
44.812096,-8.588393,clean,9,1022
-53.47878,-24.13947,clean,1,1230
-18.203512,23.190718,clean,4,7475
19.57957,-40.953304,clean,2,5756
-18.944914,32.933403,clean,4,3122
-65.033676,-24.883806,clean,1,7202
38.474472,-4.800726,clean,9,4723
-15.70199,1.7369767,clean,5,1552
