domain,accuracy,macro_f1,loss,count,method
photo,0.9670658682634732,0.9597617474516996,0.091788312905429,334,Source-only
art_painting,0.9,0.9000523742360992,0.3854148822404989,410,Source-only
cartoon,0.9488272921108742,0.9524186150028467,0.1819757276506566,469,Source-only
photo,0.9700598802395208,0.964739874455204,0.115385740103122,334,DAN
art_painting,0.9,0.9013990542925812,0.278650497808689,410,DAN
cartoon,0.9488272921108742,0.9520627088124652,0.1570951354020694,469,DAN
photo,0.2964071856287425,0.1643344128899186,5.0289646993854085,334,DANN
art_painting,0.2219512195121951,0.141163618689323,4.839669818412967,410,DANN
cartoon,0.1982942430703624,0.1755601049315406,5.320243201021955,469,DANN
photo,0.5299401197604791,0.3524424363633435,1.220237440691737,334,CDAN
art_painting,0.4048780487804878,0.3167334377218844,1.6115997965742903,410,CDAN
cartoon,0.3923240938166311,0.3134998280943545,1.495703573165926,469,CDAN
photo,0.9700598802395208,0.9659460884441776,0.093660954408303,334,DAN λ=0.1
art_painting,0.9365853658536586,0.9381987171703398,0.2243756070369627,410,DAN λ=0.1
cartoon,0.9594882729211088,0.9642422055414543,0.1459266425195787,469,DAN λ=0.1
photo,0.2574850299401197,0.0585034013605442,1.93164892824824,334,DAN λ=10
art_painting,0.2195121951219512,0.0514285714285714,1.9374712874249715,410,DAN λ=10
cartoon,0.1727078891257995,0.042077922077922,1.93605630382546,469,DAN λ=10
