model,score,group,unknown_class,predicted_known_class,accepted_count
vanilla,mls,near,bus,airplane,1
vanilla,mls,near,bus,automobile,14
vanilla,mls,near,bus,bird,0
vanilla,mls,near,bus,cat,0
vanilla,mls,near,bus,deer,0
vanilla,mls,near,bus,dog,0
vanilla,mls,near,bus,frog,0
vanilla,mls,near,bus,horse,1
vanilla,mls,near,bus,ship,0
vanilla,mls,near,bus,truck,67
vanilla,mls,near,camel,airplane,2
vanilla,mls,near,camel,automobile,0
vanilla,mls,near,camel,bird,11
vanilla,mls,near,camel,cat,1
vanilla,mls,near,camel,deer,15
vanilla,mls,near,camel,dog,16
vanilla,mls,near,camel,frog,0
vanilla,mls,near,camel,horse,17
vanilla,mls,near,camel,ship,0
vanilla,mls,near,camel,truck,0
vanilla,mls,near,fox,airplane,0
vanilla,mls,near,fox,automobile,0
vanilla,mls,near,fox,bird,0
vanilla,mls,near,fox,cat,26
vanilla,mls,near,fox,deer,26
vanilla,mls,near,fox,dog,12
vanilla,mls,near,fox,frog,1
vanilla,mls,near,fox,horse,4
vanilla,mls,near,fox,ship,0
vanilla,mls,near,fox,truck,0
vanilla,mls,near,leopard,airplane,0
vanilla,mls,near,leopard,automobile,0
vanilla,mls,near,leopard,bird,3
vanilla,mls,near,leopard,cat,26
vanilla,mls,near,leopard,deer,11
vanilla,mls,near,leopard,dog,2
vanilla,mls,near,leopard,frog,31
vanilla,mls,near,leopard,horse,0
vanilla,mls,near,leopard,ship,0
vanilla,mls,near,leopard,truck,0
vanilla,mls,near,motorcycle,airplane,4
vanilla,mls,near,motorcycle,automobile,19
vanilla,mls,near,motorcycle,bird,0
vanilla,mls,near,motorcycle,cat,1
vanilla,mls,near,motorcycle,deer,0
vanilla,mls,near,motorcycle,dog,0
vanilla,mls,near,motorcycle,frog,2
vanilla,mls,near,motorcycle,horse,2
vanilla,mls,near,motorcycle,ship,0
vanilla,mls,near,motorcycle,truck,9
vanilla,mls,near,pickup_truck,airplane,0
vanilla,mls,near,pickup_truck,automobile,66
vanilla,mls,near,pickup_truck,bird,0
vanilla,mls,near,pickup_truck,cat,0
vanilla,mls,near,pickup_truck,deer,0
vanilla,mls,near,pickup_truck,dog,0
vanilla,mls,near,pickup_truck,frog,0
vanilla,mls,near,pickup_truck,horse,0
vanilla,mls,near,pickup_truck,ship,0
vanilla,mls,near,pickup_truck,truck,24
vanilla,mls,near,tractor,airplane,1
vanilla,mls,near,tractor,automobile,2
vanilla,mls,near,tractor,bird,0
vanilla,mls,near,tractor,cat,0
vanilla,mls,near,tractor,deer,0
vanilla,mls,near,tractor,dog,0
vanilla,mls,near,tractor,frog,0
vanilla,mls,near,tractor,horse,0
vanilla,mls,near,tractor,ship,10
vanilla,mls,near,tractor,truck,41
vanilla,mls,near,wolf,airplane,0
vanilla,mls,near,wolf,automobile,0
vanilla,mls,near,wolf,bird,1
vanilla,mls,near,wolf,cat,45
vanilla,mls,near,wolf,deer,3
vanilla,mls,near,wolf,dog,37
vanilla,mls,near,wolf,frog,1
vanilla,mls,near,wolf,horse,1
vanilla,mls,near,wolf,ship,0
vanilla,mls,near,wolf,truck,0
vanilla,msp,near,bus,airplane,1
vanilla,msp,near,bus,automobile,14
vanilla,msp,near,bus,bird,0
vanilla,msp,near,bus,cat,0
vanilla,msp,near,bus,deer,0
vanilla,msp,near,bus,dog,0
vanilla,msp,near,bus,frog,0
vanilla,msp,near,bus,horse,1
vanilla,msp,near,bus,ship,1
vanilla,msp,near,bus,truck,73
vanilla,msp,near,camel,airplane,3
vanilla,msp,near,camel,automobile,0
vanilla,msp,near,camel,bird,12
vanilla,msp,near,camel,cat,1
vanilla,msp,near,camel,deer,14
vanilla,msp,near,camel,dog,20
vanilla,msp,near,camel,frog,1
vanilla,msp,near,camel,horse,17
vanilla,msp,near,camel,ship,0
vanilla,msp,near,camel,truck,0
vanilla,msp,near,fox,airplane,0
vanilla,msp,near,fox,automobile,0
vanilla,msp,near,fox,bird,0
vanilla,msp,near,fox,cat,25
vanilla,msp,near,fox,deer,28
vanilla,msp,near,fox,dog,11
vanilla,msp,near,fox,frog,2
vanilla,msp,near,fox,horse,4
vanilla,msp,near,fox,ship,0
vanilla,msp,near,fox,truck,0
vanilla,msp,near,leopard,airplane,0
vanilla,msp,near,leopard,automobile,0
vanilla,msp,near,leopard,bird,2
