pair,direction,content_label,style_label,candidate_id,content_index,style_index
cat / dog,cat -> dog,3,5,content_2291_style_5701,2291,5701
cat / dog,cat -> dog,3,5,content_4023_style_2265,4023,2265
cat / dog,cat -> dog,3,5,content_2539_style_5924,2539,5924
cat / dog,cat -> dog,3,5,content_6952_style_97,6952,97
cat / dog,cat -> dog,3,5,content_4323_style_4966,4323,4966
cat / dog,cat -> dog,3,5,content_6952_style_4570,6952,4570
cat / dog,cat -> dog,3,5,content_4323_style_2458,4323,2458
cat / dog,cat -> dog,3,5,content_4323_style_1095,4323,1095
cat / dog,cat -> dog,3,5,content_6952_style_5496,6952,5496
cat / dog,cat -> dog,3,5,content_791_style_319,791,319
cat / dog,cat -> dog,3,5,content_2861_style_5701,2861,5701
cat / dog,cat -> dog,3,5,content_2539_style_5701,2539,5701
cat / dog,cat -> dog,3,5,content_4023_style_1644,4023,1644
cat / dog,cat -> dog,3,5,content_6952_style_7706,6952,7706
cat / dog,cat -> dog,3,5,content_677_style_568,677,568
cat / dog,cat -> dog,3,5,content_672_style_4570,672,4570
cat / dog,cat -> dog,3,5,content_7797_style_6414,7797,6414
cat / dog,cat -> dog,3,5,content_791_style_2268,791,2268
cat / dog,cat -> dog,3,5,content_4330_style_4953,4330,4953
cat / dog,cat -> dog,3,5,content_3914_style_7776,3914,7776
cat / dog,dog -> cat,5,3,content_568_style_979,568,979
cat / dog,dog -> cat,5,3,content_4570_style_1401,4570,1401
cat / dog,dog -> cat,5,3,content_5496_style_1204,5496,1204
cat / dog,dog -> cat,5,3,content_2334_style_7797,2334,7797
cat / dog,dog -> cat,5,3,content_7706_style_3851,7706,3851
cat / dog,dog -> cat,5,3,content_7776_style_2539,7776,2539
cat / dog,dog -> cat,5,3,content_4290_style_1204,4290,1204
cat / dog,dog -> cat,5,3,content_319_style_3276,319,3276
cat / dog,dog -> cat,5,3,content_4570_style_3276,4570,3276
cat / dog,dog -> cat,5,3,content_2623_style_632,2623,632
cat / dog,dog -> cat,5,3,content_97_style_6490,97,6490
cat / dog,dog -> cat,5,3,content_6224_style_4330,6224,4330
cat / dog,dog -> cat,5,3,content_2427_style_3383,2427,3383
cat / dog,dog -> cat,5,3,content_319_style_2536,319,2536
cat / dog,dog -> cat,5,3,content_2427_style_979,2427,979
cat / dog,dog -> cat,5,3,content_2458_style_7797,2458,7797
cat / dog,dog -> cat,5,3,content_4850_style_1370,4850,1370
cat / dog,dog -> cat,5,3,content_5101_style_4908,5101,4908
cat / dog,dog -> cat,5,3,content_6989_style_672,6989,672
cat / dog,dog -> cat,5,3,content_319_style_365,319,365
deer / horse,deer -> horse,4,6,content_3994_style_4411,3994,4411
deer / horse,deer -> horse,4,6,content_6528_style_977,6528,977
deer / horse,deer -> horse,4,6,content_2898_style_4341,2898,4341
deer / horse,deer -> horse,4,6,content_2898_style_3494,2898,3494
deer / horse,deer -> horse,4,6,content_4054_style_4254,4054,4254
deer / horse,deer -> horse,4,6,content_5789_style_929,5789,929
deer / horse,deer -> horse,4,6,content_5402_style_5858,5402,5858
deer / horse,deer -> horse,4,6,content_1124_style_929,1124,929
deer / horse,deer -> horse,4,6,content_3458_style_4093,3458,4093
deer / horse,deer -> horse,4,6,content_6508_style_929,6508,929
deer / horse,deer -> horse,4,6,content_6288_style_7726,6288,7726
deer / horse,deer -> horse,4,6,content_3994_style_7726,3994,7726
deer / horse,deer -> horse,4,6,content_6097_style_5408,6097,5408
deer / horse,deer -> horse,4,6,content_3458_style_3844,3458,3844
deer / horse,deer -> horse,4,6,content_2399_style_3515,2399,3515
deer / horse,deer -> horse,4,6,content_5556_style_2676,5556,2676
deer / horse,deer -> horse,4,6,content_5402_style_7726,5402,7726
deer / horse,deer -> horse,4,6,content_2757_style_4746,2757,4746
deer / horse,deer -> horse,4,6,content_855_style_5408,855,5408
deer / horse,deer -> horse,4,6,content_2757_style_3418,2757,3418
deer / horse,horse -> deer,6,4,content_4731_style_5213,4731,5213
deer / horse,horse -> deer,6,4,content_1667_style_3763,1667,3763
deer / horse,horse -> deer,6,4,content_2610_style_3512,2610,3512
deer / horse,horse -> deer,6,4,content_5382_style_7692,5382,7692
deer / horse,horse -> deer,6,4,content_929_style_2898,929,2898
deer / horse,horse -> deer,6,4,content_964_style_3179,964,3179
deer / horse,horse -> deer,6,4,content_3777_style_506,3777,506
deer / horse,horse -> deer,6,4,content_4011_style_766,4011,766
deer / horse,horse -> deer,6,4,content_5082_style_5135,5082,5135
deer / horse,horse -> deer,6,4,content_7726_style_1960,7726,1960
deer / horse,horse -> deer,6,4,content_5082_style_3891,5082,3891
deer / horse,horse -> deer,6,4,content_5382_style_1429,5382,1429
deer / horse,horse -> deer,6,4,content_3418_style_5062,3418,5062
deer / horse,horse -> deer,6,4,content_1667_style_2757,1667,2757
deer / horse,horse -> deer,6,4,content_3515_style_1211,3515,1211
deer / horse,horse -> deer,6,4,content_4754_style_3365,4754,3365
deer / horse,horse -> deer,6,4,content_4341_style_691,4341,691
deer / horse,horse -> deer,6,4,content_3292_style_3891,3292,3891
deer / horse,horse -> deer,6,4,content_5082_style_1124,5082,1124
deer / horse,horse -> deer,6,4,content_3777_style_7610,3777,7610
bird / monkey,bird -> monkey,1,7,content_5560_style_4748,5560,4748
bird / monkey,bird -> monkey,1,7,content_2116_style_3288,2116,3288
bird / monkey,bird -> monkey,1,7,content_3079_style_3446,3079,3446
bird / monkey,bird -> monkey,1,7,content_2178_style_4308,2178,4308
bird / monkey,bird -> monkey,1,7,content_3413_style_4403,3413,4403
bird / monkey,bird -> monkey,1,7,content_2095_style_4236,2095,4236
bird / monkey,bird -> monkey,1,7,content_7033_style_4791,7033,4791
bird / monkey,bird -> monkey,1,7,content_95_style_4704,95,4704
bird / monkey,bird -> monkey,1,7,content_2070_style_5848,2070,5848
bird / monkey,bird -> monkey,1,7,content_261_style_3467,261,3467
bird / monkey,bird -> monkey,1,7,content_95_style_323,95,323
bird / monkey,bird -> monkey,1,7,content_6805_style_7270,6805,7270
