pair,direction,content_label,style_label,candidate_id,content_index,style_index,accepted,reason
cat / dog,cat -> dog,3,5,content_1563_style_2334,1563,2334,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_4590_style_319,4590,319,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_3375_style_2623,3375,2623,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_2291_style_5701,2291,5701,True,Content outline remains clear; style surface pattern is visible.
cat / dog,cat -> dog,3,5,content_3914_style_3863,3914,3863,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_2861_style_6716,2861,6716,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_979_style_2334,979,2334,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_3778_style_1644,3778,1644,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_4330_style_1644,4330,1644,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_4023_style_2265,4023,2265,True,Content outline remains clear; style surface pattern is visible.
cat / dog,cat -> dog,3,5,content_2539_style_5924,2539,5924,True,Content outline remains clear; style surface pattern is visible.
cat / dog,cat -> dog,3,5,content_7797_style_5332,7797,5332,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_4821_style_6716,4821,6716,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_6952_style_2807,6952,2807,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_6952_style_97,6952,97,True,Content outline remains clear; style surface pattern is visible.
cat / dog,cat -> dog,3,5,content_7744_style_5924,7744,5924,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_4323_style_4966,4323,4966,True,Content outline remains clear; style surface pattern is visible.
cat / dog,cat -> dog,3,5,content_632_style_2458,632,2458,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_1263_style_7706,1263,7706,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_4821_style_6922,4821,6922,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_6952_style_4570,6952,4570,True,Content outline remains clear; style surface pattern is visible.
cat / dog,cat -> dog,3,5,content_4323_style_2458,4323,2458,True,Content outline remains clear; style surface pattern is visible.
cat / dog,cat -> dog,3,5,content_4323_style_1095,4323,1095,True,Content outline remains clear; style surface pattern is visible.
cat / dog,cat -> dog,3,5,content_7744_style_7474,7744,7474,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_2536_style_5924,2536,5924,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_1531_style_4290,1531,4290,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_1263_style_4953,1263,4953,False,Only background color transferred; no visible object texture.
cat / dog,cat -> dog,3,5,content_3562_style_7413,3562,7413,False,Only background color transferred; no visible object texture.
