backbone,condition,cosine,n_pairs
ResNet-50,grayscale,0.78912145,500
ResNet-50,cue_conflict,0.46518013,200
ResNet-50,patch_shuffle,0.7178452,500
ResNet-50,translation_8,0.9685304,2000
ResNet-50,translation_16,0.95249295,2000
ResNet-50,translation_32,0.93272436,2000
ViT-B/16,grayscale,0.7392454,500
ViT-B/16,cue_conflict,0.4890947,200
ViT-B/16,patch_shuffle,0.6533687,500
ViT-B/16,translation_8,0.94711983,2000
ViT-B/16,translation_16,0.97431934,2000
ViT-B/16,translation_32,0.9417607,2000
CLIP ViT-B/32,grayscale,0.8951222,500
CLIP ViT-B/32,cue_conflict,0.7507689,200
CLIP ViT-B/32,patch_shuffle,0.73704344,500
CLIP ViT-B/32,translation_8,0.9810719,2000
CLIP ViT-B/32,translation_16,0.9680161,2000
CLIP ViT-B/32,translation_32,0.96909297,2000
