backbone,condition,mean_cosine,std_cosine,n_pairs
clip,cue_conflict,0.7507689,0.07314819,200
clip,grayscale,0.8951222,0.040099755,500
clip,patch_shuffle,0.73704344,0.059099857,500
clip,translation_08_down,0.9810781,0.009226581,500
clip,translation_08_left,0.9812459,0.010465278,500
clip,translation_08_right,0.9812118,0.010936796,500
clip,translation_08_up,0.98075193,0.009610287,500
clip,translation_16_down,0.97120947,0.013723525,500
clip,translation_16_left,0.96528125,0.019828945,500
clip,translation_16_right,0.96575266,0.019497057,500
clip,translation_16_up,0.969821,0.014041571,500
clip,translation_32_down,0.97635067,0.015642596,500
clip,translation_32_left,0.9632531,0.022686642,500
clip,translation_32_right,0.9622564,0.02363528,500
clip,translation_32_up,0.97451186,0.017728329,500
resnet50,cue_conflict,0.46518013,0.14273132,200
resnet50,grayscale,0.78912145,0.09752842,500
resnet50,patch_shuffle,0.7178452,0.07466093,500
resnet50,translation_08_down,0.9655255,0.01850836,500
resnet50,translation_08_left,0.97379035,0.01391764,500
resnet50,translation_08_right,0.965599,0.021797424,500
resnet50,translation_08_up,0.9692067,0.014415633,500
resnet50,translation_16_down,0.94930315,0.030293291,500
resnet50,translation_16_left,0.9607929,0.022187687,500
resnet50,translation_16_right,0.9439592,0.03601478,500
resnet50,translation_16_up,0.95591676,0.023958793,500
resnet50,translation_32_down,0.93266284,0.044927407,500
resnet50,translation_32_left,0.9402135,0.035960134,500
resnet50,translation_32_right,0.920051,0.045282256,500
resnet50,translation_32_up,0.9379701,0.03907989,500
vit_b16,cue_conflict,0.4890947,0.16590415,200
vit_b16,grayscale,0.7392454,0.12615575,500
vit_b16,patch_shuffle,0.6533687,0.110294834,500
vit_b16,translation_08_down,0.9447178,0.032001518,500
vit_b16,translation_08_left,0.9500148,0.031731233,500
vit_b16,translation_08_right,0.94894475,0.032565337,500
vit_b16,translation_08_up,0.94480187,0.03242789,500
vit_b16,translation_16_down,0.97166055,0.030232897,500
vit_b16,translation_16_left,0.9760978,0.021655804,500
vit_b16,translation_16_right,0.97507954,0.025079193,500
vit_b16,translation_16_up,0.9744394,0.024616662,500
vit_b16,translation_32_down,0.93361795,0.054243673,500
vit_b16,translation_32_left,0.94786924,0.040314578,500
vit_b16,translation_32_right,0.948508,0.040011223,500
vit_b16,translation_32_up,0.93704766,0.05249048,500
