x,y,condition,label,official_test_index
51.059464,2.27533,clean,3,632
-25.34722,2.470437,clean,9,131
21.19167,45.973366,clean,7,7081
-17.570435,-4.5085177,clean,9,1836
-34.661877,43.298897,clean,0,6437
-20.57278,39.802784,clean,0,6609
44.287838,25.338673,clean,7,3467
47.005997,2.0559974,clean,3,1401
-41.554672,-27.431986,clean,2,1839
37.25933,-3.9308488,clean,3,4168
-45.78406,-27.554794,clean,2,35
-60.750237,8.771649,clean,8,4177
32.632427,28.42843,clean,7,7270
10.217548,-15.114526,clean,5,2265
36.373173,44.70521,clean,7,3288
-57.315937,9.490832,clean,8,5451
47.50283,-13.179659,clean,3,4023
-3.6722288,17.903646,clean,1,261
3.0337882,-10.41131,clean,5,4570
17.583174,-1.1118791,clean,5,4966
7.6932063,32.752335,clean,1,7955
29.027191,-37.39637,clean,4,6288
-54.07742,7.822342,clean,8,7810
46.162888,29.15938,clean,7,1927
4.7724233,12.932399,clean,1,1871
19.998213,-6.796057,clean,5,6922
26.228903,-34.229935,clean,4,3512
4.8532076,-41.681767,clean,6,4754
-27.791037,-17.473625,clean,2,714
-57.354366,10.945615,clean,8,2191
-26.20641,37.10514,clean,0,4615
-59.56627,7.4022374,clean,8,4662
-31.767635,-6.365164,clean,9,5915
11.02475,-33.60752,clean,4,766
-39.456272,-37.700665,clean,2,5218
-58.838543,5.042641,clean,8,2340
-49.188087,12.601884,clean,8,1954
-53.46333,7.440539,clean,8,7875
1.1724201,-47.35892,clean,6,3418
-27.435291,2.582948,clean,9,5572
22.359764,45.987213,clean,7,5977
1.1732422,18.441175,clean,1,5123
-14.000427,-0.8162799,clean,9,5851
-12.739452,1.4161886,clean,9,4094
24.45479,-30.799437,clean,6,4254
45.857193,28.398756,clean,7,2501
9.368107,33.954594,clean,1,6938
34.130226,-34.333218,clean,4,171
34.44969,3.1390457,clean,3,4215
-62.15935,2.7343414,clean,8,5705
33.618786,-42.74572,clean,4,3458
37.99252,44.473877,clean,7,1220
-61.044964,9.207947,clean,8,962
6.92001,7.457267,clean,5,2950
16.040968,-12.322639,clean,5,2623
-20.631424,36.496567,clean,0,4539
-35.096638,42.047863,clean,0,1553
20.748562,-44.52902,clean,4,4740
-23.399096,35.95375,clean,0,6844
37.532913,43.448994,clean,7,2668
36.575863,43.944347,clean,7,3153
28.694864,-25.855251,clean,4,5135
42.238163,11.385535,clean,3,2291
5.334488,26.36453,clean,1,116
41.589333,6.432099,clean,3,7797
41.9972,9.302664,clean,3,4609
-26.85654,27.697016,clean,0,81
6.317361,-27.059992,clean,6,5580
-47.801716,-22.93227,clean,2,3024
24.860456,10.903266,clean,5,2766
-53.018597,16.667942,clean,8,5000
-4.6596823,-34.596737,clean,6,2610
-31.524345,18.2818,clean,0,2024
30.29908,-44.438366,clean,4,6097
-1.2641312,-29.096838,clean,6,964
-27.739563,35.583702,clean,0,7634
-56.44372,12.946336,clean,8,6434
-40.308594,-37.699444,clean,2,5183
-47.276245,18.157774,clean,0,6986
20.426485,-10.055887,clean,5,645
-20.295067,37.093903,clean,0,3347
-32.776287,-20.565834,clean,2,5677
-58.73989,10.257579,clean,8,3412
4.339369,29.70959,clean,1,3937
10.736349,-30.49963,clean,6,873
-18.550278,-3.049864,clean,9,2167
52.546764,3.457394,clean,3,6490
29.002462,-1.5942352,clean,3,738
-44.04829,-29.623266,clean,2,6616
-1.3675433,-29.022812,clean,6,4093
-20.68646,-9.866688,clean,9,5788
-60.84265,-0.8726475,clean,8,7818
20.837543,22.662973,clean,1,304
-49.072628,-23.295033,clean,2,2082
37.103363,29.976208,clean,7,2746
35.119728,-30.264439,clean,4,7944
-44.819492,5.6802034,clean,8,6689
-36.807518,4.3350873,clean,9,2414
6.4891334,-35.512066,clean,6,3779
16.492527,19.803898,clean,1,2095
-21.599836,37.37971,clean,0,7262
-56.140957,25.054161,clean,8,5694
25.808123,10.871779,clean,5,7413
-3.300919,19.052433,clean,1,6805
31.836372,33.459522,clean,7,3446
23.143997,-18.30981,clean,5,2807
29.524193,-39.224762,clean,4,7940
37.278885,45.663246,clean,7,4172
25.300158,3.2673244,clean,3,7744
-39.055614,-28.234203,clean,2,1586
-57.29531,10.1845255,clean,8,7999
11.127529,27.201035,clean,1,6349
1.0134178,21.337074,clean,1,6594
-58.279835,23.13457,clean,8,2109
4.138248,40.105198,clean,1,3079
13.794155,23.318275,clean,1,2070
9.591081,0.7292789,clean,5,319
-30.575417,42.934513,clean,0,2888
4.0419173,-9.848961,clean,5,6224
18.370281,6.8427525,clean,5,3353
-38.91404,-26.36456,clean,2,6244
30.486177,30.69544,clean,7,4704
3.669217,-9.277888,clean,5,2427
-30.113909,-11.079518,clean,9,7995
35.13479,-36.08519,clean,4,1124
5.098229,13.541098,clean,1,6733
-13.606716,-0.113216475,clean,9,2062
-28.944372,-2.0531797,clean,9,805
44.731976,-12.152407,clean,3,2028
-38.47919,-19.780947,clean,2,2392
-1.163113,-30.675724,clean,6,3292
46.211224,31.104378,clean,7,1440
9.481215,18.630552,clean,1,1115
-60.541866,0.91742676,clean,8,4242
-49.27306,7.3552203,clean,8,2230
-42.86202,-30.881613,clean,2,3163
-10.794753,-32.607456,clean,6,545
13.525106,-7.925904,clean,5,3863
31.993547,35.36362,clean,7,4748
24.73827,-43.647625,clean,4,2399
3.2882044,-42.565125,clean,6,4341
36.10803,-32.970345,clean,4,3078
27.391195,-44.305557,clean,4,3763
1.5869513,-46.491817,clean,6,2958
-9.352772,-32.78415,clean,6,6381
-55.434666,11.640981,clean,8,1640
-55.325436,8.532314,clean,8,1783
48.435955,-1.34544,clean,3,3914
-5.107305,-31.686945,clean,6,1534
14.147544,-9.896397,clean,5,685
-20.903502,38.297066,clean,0,4617
-14.512645,-3.7396052,clean,9,5508
-32.420242,-4.2315755,clean,9,1022
12.890612,10.622813,clean,1,1230
28.027534,-42.95738,clean,4,7475
-31.41829,-25.428482,clean,2,5756
28.095308,-36.035114,clean,4,3122
3.470478,41.52457,clean,1,7202
-29.210043,-0.184871,clean,9,4723
9.547125,-14.072517,clean,5,1552
-19.974625,-0.82920945,clean,9,603
37.33534,0.4055382,clean,3,2861
-42.090847,-28.839485,clean,2,6426
29.5468,-47.29122,clean,4,7864
6.759784,-42.040215,clean,6,5729
15.005438,6.268456,clean,5,7474
8.929778,32.726543,clean,1,4298
-28.133598,38.76236,clean,0,1175
-36.135357,-26.054754,clean,2,3454
49.30839,-4.5425777,clean,3,2754
32.44281,-35.667633,clean,4,855
36.95179,42.960094,clean,7,2854
5.483089,36.84311,clean,1,5092
-12.353859,3.0500805,clean,9,5590
43.641262,1.6318057,clean,3,4463
-30.497307,-15.7443075,clean,2,5318
22.49168,-40.221966,clean,6,3515
30.294773,-36.21307,clean,4,4642
-15.691261,-2.0546312,clean,9,852
-61.96086,0.027573198,clean,8,1247
-32.187332,-24.710175,clean,2,7084
-29.967861,3.0681262,clean,9,5301
1.5548744,-46.945534,clean,6,5082
18.350952,-42.14801,clean,4,5077
41.972076,13.437636,clean,3,1563
49.048717,26.37433,clean,7,29
38.076733,26.742666,clean,7,3867
-0.042915158,-35.673332,clean,6,4620
-34.30211,-17.034624,clean,2,4065
13.790995,-8.769904,clean,5,1095
44.066082,-1.0061828,clean,3,4229
48.544224,-12.985491,clean,3,3562
-59.74645,11.658462,clean,8,2342
-9.910983,-35.23339,clean,6,1667
10.082296,26.377655,clean,1,7033
27.92589,-15.274032,clean,7,1771
-57.662434,6.2755938,clean,8,3157
26.802021,2.59116,clean,3,3851
36.477745,45.537224,clean,7,1287
-29.015953,26.869658,clean,0,7320
1.1071025,-38.084766,clean,6,7600
18.425968,1.2149758,clean,5,3852
46.72043,30.043047,clean,7,269
38.842125,43.296978,clean,7,1703
1.9218231,0.99321216,clean,5,7776
33.056686,-31.856903,clean,4,3891
-31.65202,32.209564,clean,0,7009
-35.264233,43.195133,clean,0,4893
-14.747968,-1.4525452,clean,9,2351
3.4133816,20.88534,clean,1,3550
22.178377,46.441273,clean,7,5719
22.844398,43.678127,clean,7,1884
33.554447,-35.187958,clean,4,2898
15.9570465,27.074625,clean,1,4640
28.86319,-38.475777,clean,4,7610
-61.305405,0.7463447,clean,8,1833
-32.051464,19.043383,clean,0,6455
-20.186827,-12.390589,clean,9,3893
1.8527626,-45.6056,clean,6,4731
7.699691,-28.466362,clean,6,929
5.1329417,-46.104584,clean,6,3962
30.06242,4.5365367,clean,3,3778
25.949396,-39.981415,clean,4,1429
-45.25595,-30.174915,clean,2,49
-29.474665,-4.5226984,clean,9,276
7.1203847,33.749554,clean,1,6076
-29.394587,37.837994,clean,0,1389
-37.44899,-38.81938,clean,2,3362
-41.90151,-32.15074,clean,2,317
-32.628403,42.616684,clean,0,4675
3.4509797,-10.022608,clean,5,5924
11.966242,23.379093,clean,1,198
-1.7003125,-35.394455,clean,6,7779
27.20915,-47.805237,clean,4,4054
21.463785,-42.18249,clean,4,5556
8.2013645,31.288713,clean,1,2687
-37.779606,-34.98168,clean,2,1202
26.843874,11.55673,clean,5,97
32.055523,-41.339832,clean,4,6033
28.46786,24.482822,clean,7,1711
-26.618616,-4.5173917,clean,9,1430
-60.42694,2.927374,clean,8,739
10.210845,27.43571,clean,1,3491
13.726103,17.874657,clean,1,1568
31.801626,-42.64897,clean,4,1211
-46.617535,-23.421509,clean,2,4913
-40.115864,-38.44506,clean,2,2502
53.593685,4.517925,clean,3,2539
34.245964,0.26672494,clean,3,979
-40.36886,-24.485651,clean,2,6354
-45.750862,-23.07845,clean,2,4735
-34.87085,31.679436,clean,0,5912
-1.868758,-43.423843,clean,6,3844
47.34845,-6.358585,clean,3,1263
47.402336,30.717176,clean,7,3404
-55.92479,24.089138,clean,8,3905
-47.43527,20.564104,clean,0,1596
-46.036335,20.962414,clean,0,3083
2.160255,-38.359173,clean,6,2003
-38.54703,-38.4364,clean,2,5030
8.748026,34.969086,clean,1,95
21.441364,-31.757648,clean,4,2757
9.629435,32.53778,clean,1,3413
29.968723,21.509815,clean,1,5488
0.50229114,-36.595062,clean,6,4827
8.850047,-13.838237,clean,5,1877
14.305961,26.16513,clean,1,2157
37.820564,-2.2098763,clean,3,4821
8.454239,-0.21029599,clean,5,4953
-58.80319,22.628607,clean,8,5525
16.288208,-15.26082,clean,5,5381
43.31863,8.301827,clean,3,672
43.397297,30.808723,clean,7,323
37.414654,45.019802,clean,7,5436
32.485924,35.413532,clean,7,5450
14.255568,-13.501683,clean,5,6358
31.584282,-1.4921899,clean,3,372
26.081541,11.666715,clean,5,378
13.091006,5.5670953,clean,5,7706
7.414388,28.771824,clean,1,2178
-49.735996,-22.307816,clean,2,5237
-30.87655,18.070454,clean,0,5478
-13.252576,-2.4252477,clean,9,5452
26.919144,-43.955017,clean,4,5623
33.958088,27.203707,clean,7,6772
19.453827,-43.08581,clean,4,1111
30.520271,1.1951325,clean,3,5528
3.0892317,-46.34613,clean,6,3777
