panel,domain,path,class_name
domain grid,photo,photo/dog/n02103406_8004.jpg,dog
domain grid,photo,photo/elephant/n02503517_3799.jpg,elephant
domain grid,photo,photo/giraffe/084_0057.jpg,giraffe
domain grid,photo,photo/guitar/063_0025.jpg,guitar
domain grid,photo,photo/horse/105_0009.jpg,horse
domain grid,photo,photo/house/pic_068.jpg,house
domain grid,photo,photo/person/253_0090.jpg,person
domain grid,art_painting,art_painting/dog/pic_244.jpg,dog
domain grid,art_painting,art_painting/elephant/pic_205.jpg,elephant
domain grid,art_painting,art_painting/giraffe/pic_286.jpg,giraffe
domain grid,art_painting,art_painting/guitar/pic_095.jpg,guitar
domain grid,art_painting,art_painting/horse/pic_117.jpg,horse
domain grid,art_painting,art_painting/house/pic_104.jpg,house
domain grid,art_painting,art_painting/person/pic_231.jpg,person
domain grid,cartoon,cartoon/dog/pic_056.jpg,dog
domain grid,cartoon,cartoon/elephant/pic_218.jpg,elephant
domain grid,cartoon,cartoon/giraffe/pic_306.jpg,giraffe
domain grid,cartoon,cartoon/guitar/pic_075.jpg,guitar
domain grid,cartoon,cartoon/horse/pic_134.jpg,horse
domain grid,cartoon,cartoon/house/pic_157.jpg,house
domain grid,cartoon,cartoon/person/pic_249.jpg,person
domain grid,sketch,sketch/dog/5281.png,dog
domain grid,sketch,sketch/elephant/5921.png,elephant
domain grid,sketch,sketch/giraffe/7361.png,giraffe
domain grid,sketch,sketch/guitar/7601.png,guitar
domain grid,sketch,sketch/horse/8481.png,horse
domain grid,sketch,sketch/house/8801.png,house
domain grid,sketch,sketch/person/12081.png,person
