method,class_name,count,accuracy_pct,change_vs_source_only_pp
DANN recovery,dog,772,4.404145077720207,-29.663212435233156
DANN recovery,elephant,740,0.0,-99.1891891891892
DANN recovery,giraffe,753,0.13280212483399734,-71.84594953519256
DANN recovery,guitar,608,5.921052631578947,-79.4407894736842
DANN recovery,horse,816,80.75980392156863,16.053921568627448
DANN recovery,house,80,2.5,-70.0
DANN recovery,person,160,90.0,44.375
CDAN recovery,dog,772,72.7979274611399,38.73056994818654
CDAN recovery,elephant,740,87.02702702702703,-12.162162162162172
CDAN recovery,giraffe,753,48.472775564409034,-23.50597609561753
CDAN recovery,guitar,608,95.55921052631578,10.197368421052634
CDAN recovery,horse,816,89.58333333333334,24.877450980392158
CDAN recovery,house,80,98.75,26.250000000000007
CDAN recovery,person,160,98.125,52.49999999999999
DAN λ=10 recovery,dog,772,42.35751295336787,8.290155440414516
DAN λ=10 recovery,elephant,740,68.78378378378378,-30.405405405405418
DAN λ=10 recovery,giraffe,753,61.221779548472774,-10.756972111553786
DAN λ=10 recovery,guitar,608,94.24342105263158,8.881578947368428
DAN λ=10 recovery,horse,816,55.63725490196079,-9.068627450980394
DAN λ=10 recovery,house,80,93.75,21.250000000000004
DAN λ=10 recovery,person,160,99.375,53.75000000000001
