method,class_name,count,accuracy,dominant_confusion,dominant_confusion_count,accuracy_change_pp
Source-only,dog,772,0.34067357512953367,elephant,356,0.0
Source-only,elephant,740,0.9918918918918919,dog,3,0.0
Source-only,giraffe,753,0.7197875166002656,horse,90,0.0
Source-only,guitar,608,0.8536184210526315,elephant,79,0.0
Source-only,horse,816,0.6470588235294118,elephant,214,0.0
Source-only,house,80,0.725,elephant,15,0.0
Source-only,person,160,0.45625,elephant,49,0.0
DAN,dog,772,0.5194300518134715,person,196,17.87564766839378
DAN,elephant,740,0.7094594594594594,house,90,-28.243243243243242
DAN,giraffe,753,0.5670650730411687,person,152,-15.272244355909692
DAN,guitar,608,0.7171052631578947,house,90,-13.651315789473683
DAN,horse,816,0.5575980392156863,dog,125,-8.94607843137255
DAN,house,80,1.0,,0,27.500000000000004
DAN,person,160,0.0125,house,158,-44.375
DANN,dog,772,0.8290155440414507,giraffe,119,48.83419689119171
DANN,elephant,740,0.004054054054054054,dog,582,-98.78378378378379
DANN,giraffe,753,0.08632138114209828,dog,554,-63.34661354581673
DANN,guitar,608,0.0,dog,460,-85.36184210526315
DANN,horse,816,0.0,dog,578,-64.70588235294117
DANN,house,80,0.0,dog,75,-72.5
DANN,person,160,0.00625,dog,155,-45.0
CDAN,dog,772,0.0,house,765,-34.067357512953365
CDAN,elephant,740,0.002702702702702703,house,738,-98.91891891891892
CDAN,giraffe,753,0.0,house,729,-71.97875166002656
CDAN,guitar,608,0.0,house,598,-85.36184210526315
CDAN,horse,816,0.0,house,813,-64.70588235294117
CDAN,house,80,1.0,,0,27.500000000000004
CDAN,person,160,0.0,house,160,-45.625
DAN lambda=0.1,dog,772,0.4676165803108808,person,252,12.694300518134716
DAN lambda=0.1,elephant,740,0.677027027027027,person,114,-31.486486486486488
DAN lambda=0.1,giraffe,753,0.7250996015936255,person,89,0.5312084993359889
DAN lambda=0.1,guitar,608,0.8799342105263158,person,49,2.6315789473684292
DAN lambda=0.1,horse,816,0.6752450980392157,house,85,2.8186274509803932
DAN lambda=0.1,house,80,1.0,,0,27.500000000000004
DAN lambda=0.1,person,160,0.9625,house,6,50.62500000000001
DAN lambda=10,dog,772,0.0,person,772,-34.067357512953365
DAN lambda=10,elephant,740,0.0,person,740,-99.1891891891892
DAN lambda=10,giraffe,753,0.0,person,753,-71.97875166002656
DAN lambda=10,guitar,608,0.0,person,608,-85.36184210526315
DAN lambda=10,horse,816,0.0,person,816,-64.70588235294117
DAN lambda=10,house,80,0.0,person,80,-72.5
DAN lambda=10,person,160,1.0,,0,54.37499999999999
