task,run,class_name,count,accuracy
2,dann,dog,772,0.04404145077720207
2,dann,elephant,740,0.0
2,dann,giraffe,753,0.0013280212483399733
2,dann,guitar,608,0.05921052631578947
2,dann,horse,816,0.8075980392156863
2,dann,house,80,0.025
2,dann,person,160,0.9
2,cdan,dog,772,0.727979274611399
2,cdan,elephant,740,0.8702702702702703
2,cdan,giraffe,753,0.4847277556440903
2,cdan,guitar,608,0.9555921052631579
2,cdan,horse,816,0.8958333333333334
2,cdan,house,80,0.9875
2,cdan,person,160,0.98125
2,dan_lambda_10,dog,772,0.42357512953367876
2,dan_lambda_10,elephant,740,0.6878378378378378
2,dan_lambda_10,giraffe,753,0.6122177954847278
2,dan_lambda_10,guitar,608,0.9424342105263158
2,dan_lambda_10,horse,816,0.5563725490196079
2,dan_lambda_10,house,80,0.9375
2,dan_lambda_10,person,160,0.99375
