method,class_name,count,accuracy,dominant_confusion,dominant_confusion_count,accuracy_change_pp
Source-only,dog,772,0.3406735751295336,elephant,356,0.0
Source-only,elephant,740,0.991891891891892,dog,3,0.0
Source-only,giraffe,753,0.7197875166002656,horse,90,0.0
Source-only,guitar,608,0.8536184210526315,elephant,79,0.0
Source-only,horse,816,0.6470588235294118,elephant,214,0.0
Source-only,house,80,0.725,elephant,15,0.0
Source-only,person,160,0.45625,elephant,49,0.0
DAN,dog,772,0.5194300518134715,person,196,17.87564766839378
DAN,elephant,740,0.7094594594594594,house,90,-28.24324324324324
DAN,giraffe,753,0.5670650730411687,person,152,-15.272244355909692
DAN,guitar,608,0.7171052631578947,house,90,-13.651315789473683
DAN,horse,816,0.5575980392156863,dog,125,-8.94607843137255
DAN,house,80,1.0,,0,27.500000000000004
DAN,person,160,0.0125,house,158,-44.375
