epoch,train_loss,train_accuracy,mean_val_macro_f1,mean_val_accuracy,mean_val_loss,classification_loss,mmd_loss,weighted_mmd_loss,mean_alignment_ramp,mean_gradient_norm_before_clip,photo_accuracy,photo_macro_f1,photo_loss,art_painting_accuracy,art_painting_macro_f1,art_painting_loss,cartoon_accuracy,cartoon_macro_f1,cartoon_loss
1,0.6018658081882019,0.9920212765957447,0.9362452558968665,0.9381248735562314,0.1783714545353592,0.02631340697502155,0.5859108852579239,0.5755524024089917,0.10042553191489359,5.532572131080831,0.9670658682634731,0.9624462686693607,0.08753932713569995,0.9048780487804878,0.901436511515682,0.28215507792263494,0.9424307036247335,0.9448529875055567,0.16541995854774263
2,1.678215016963634,0.9852836879432624,0.9123883227964459,0.9120944236650211,0.33119137175520774,0.08778863149655468,0.5299004510362098,1.5904263848954059,0.3004255319148936,12.687924973508144,0.937125748502994,0.9308614790498707,0.24658017386933287,0.8780487804878049,0.8810028369764373,0.446962478684216,0.9211087420042644,0.9253006523630294,0.30003146271207437
3,3.127841253483549,0.8987588652482269,0.7415612776015451,0.7347988094745036,1.0080637639158945,0.5258229379007157,0.5200314600416954,2.602018312190441,0.5004255319148936,25.380749126190835,0.7724550898203593,0.7598901507822281,0.9494504528845141,0.6878048780487804,0.6910763026717385,1.1043808820771008,0.744136460554371,0.7737173793506688,0.9703599567860682
4,5.144851584130145,0.5966312056737588,0.3736457024074664,0.4248537923373182,1.7266331180910786,1.374877128448892,0.5389169742452338,3.7699744528912484,0.7004255319148935,48.09298816437417,0.48502994011976047,0.39847483964681424,1.7070708074969445,0.3439024390243902,0.2999016761808004,1.7753509986691358,0.44562899786780386,0.42256059139478463,1.6974775481071553
5,6.675466324420685,0.32163120567375886,0.13865996107935616,0.20957552366274781,1.907056928539961,1.8399032247827407,0.5367742107269612,4.835563099637945,0.9004255319148936,87.76446369252307,0.18263473053892215,0.1362425914311785,1.9065927916658139,0.17317073170731706,0.08845509066097303,1.9065558922000048,0.27292110874200426,0.19128220114591696,1.9080221017540644
6,7.21855446024144,0.16666666666666666,0.03852919051605977,0.15514986979600529,1.9298899603513222,1.9214614543508977,0.5297092941213162,5.297093005890542,1.0,121.05745745719747,0.11377245508982035,0.029343629343629347,1.9329704695832943,0.18536585365853658,0.045050385299347954,1.920503411641935,0.16631130063965885,0.041193556905202,1.9361959998287372
7,6.954603773482303,0.15585106382978722,0.038252229001190456,0.15514986979600529,1.9316252018470494,1.9312271574710278,0.5023376566298464,5.023376614996727,1.0,147.45450478411735,0.11377245508982035,0.029185867895545316,1.9356780194950676,0.18536585365853658,0.04467960023515579,1.9224424036537728,0.16631130063965885,0.04089121887287025,1.9367551823923075
8,6.800766778499522,0.15265957446808512,0.038252229001190456,0.15514986979600529,1.9309037076655031,1.9322557677613927,0.48685109666053283,4.868511015303591,1.0,169.58173048952793,0.11377245508982035,0.029185867895545316,1.93513435660722,0.18536585365853658,0.04467960023515579,1.9221667406035632,0.16631130063965885,0.04089121887287025,1.9354100257857267
9,6.781845048133363,0.15620567375886524,0.038252229001190456,0.15514986979600529,1.9299327693867099,1.930208047907403,0.4851636953810428,4.851636996167771,1.0,185.15370713903548,0.11377245508982035,0.029185867895545316,1.9337467947405969,0.18536585365853658,0.04467960023515579,1.9218268417730564,0.16631130063965885,0.04089121887287025,1.9342246716464762
10,6.847372728713015,0.15726950354609928,0.038142054120146235,0.15433686166592397,1.9289360921928322,1.9290641246957982,0.49183085649571523,4.9183086111190475,1.0,208.31650296475024,0.11377245508982035,0.029185867895545316,1.932620019969826,0.18292682926829268,0.04427390791027155,1.921251138826696,0.16631130063965885,0.04096638655462185,1.9329371177819745
11,6.652589018801425,0.1528368794326241,0.04474924134273822,0.1546580457058736,1.9280619775410859,1.927955859265429,0.47246331014531723,4.724633153955987,1.0,214.54241677142204,0.11077844311377245,0.03185908924476306,1.9313849546238333,0.18048780487804877,0.04953943299807961,1.9210070168099753,0.17270788912579957,0.052849201785371995,1.931793961189449
12,6.750568594831101,0.1656028368794326,0.07471433229182288,0.2047382067733066,1.927434730385829,1.9280088343518846,0.4822559718121874,4.822559767581047,1.0,243.02469524627037,0.23053892215568864,0.08098223615464994,1.930655713566763,0.20243902439024392,0.0679806535902472,1.9208983444586032,0.1812366737739872,0.07518010713057152,1.9307501331321213
13,6.652217798030123,0.21418439716312057,0.05066996495567924,0.21656837139595686,1.9268196643548883,1.9281885801477636,0.4724029159292262,4.724029218389632,1.0,254.2033549207322,0.25748502994011974,0.058503401360544216,1.9297246476133427,0.21951219512195122,0.05142857142857143,1.920849693112257,0.17270788912579957,0.04207792207792208,1.929884652339065
