model,score_name,partition,index,label,prediction,unknownness,threshold,accepted
vanilla,mls,validation,15466,0,0,-10.834604263305664,-5.762001752853393,True
vanilla,mls,validation,5757,0,0,-10.514710426330566,-5.762001752853393,True
vanilla,mls,validation,10301,0,0,-5.4020233154296875,-5.762001752853393,False
vanilla,mls,validation,25082,0,0,-9.356063842773438,-5.762001752853393,True
vanilla,mls,validation,3607,0,0,-7.005720615386963,-5.762001752853393,True
vanilla,mls,validation,15333,0,0,-7.842297554016113,-5.762001752853393,True
vanilla,mls,validation,36632,0,0,-9.189268112182617,-5.762001752853393,True
vanilla,mls,validation,45393,0,0,-10.102520942687988,-5.762001752853393,True
vanilla,mls,validation,43289,0,0,-7.34609842300415,-5.762001752853393,True
vanilla,mls,validation,47176,0,0,-7.763504505157471,-5.762001752853393,True
vanilla,mls,validation,11762,0,0,-9.637763023376465,-5.762001752853393,True
vanilla,mls,validation,8934,0,0,-7.3480658531188965,-5.762001752853393,True
vanilla,mls,validation,36175,0,0,-9.481423377990723,-5.762001752853393,True
vanilla,mls,validation,1382,0,0,-8.789669036865234,-5.762001752853393,True
vanilla,mls,validation,22622,0,0,-9.528152465820312,-5.762001752853393,True
vanilla,mls,validation,9799,0,0,-11.605949401855469,-5.762001752853393,True
vanilla,mls,validation,24939,0,0,-9.734283447265625,-5.762001752853393,True
vanilla,mls,validation,16892,0,0,-10.974814414978027,-5.762001752853393,True
vanilla,mls,validation,47766,0,0,-9.732992172241211,-5.762001752853393,True
vanilla,mls,validation,20824,0,0,-7.962915420532227,-5.762001752853393,True
vanilla,mls,validation,16002,0,5,-5.276109218597412,-5.762001752853393,False
vanilla,mls,validation,7504,0,0,-9.968793869018555,-5.762001752853393,True
vanilla,mls,validation,13594,0,0,-8.89510726928711,-5.762001752853393,True
vanilla,mls,validation,41851,0,0,-8.142682075500488,-5.762001752853393,True
vanilla,mls,validation,21387,0,0,-9.40320873260498,-5.762001752853393,True
vanilla,mls,validation,16637,0,0,-9.943001747131348,-5.762001752853393,True
vanilla,mls,validation,44785,0,0,-9.626785278320312,-5.762001752853393,True
vanilla,mls,validation,29759,0,0,-10.810236930847168,-5.762001752853393,True
vanilla,mls,validation,22716,0,2,-7.208532333374023,-5.762001752853393,True
vanilla,mls,validation,38335,0,0,-9.035572052001953,-5.762001752853393,True
vanilla,mls,validation,45190,0,0,-10.03216552734375,-5.762001752853393,True
vanilla,mls,validation,25330,0,0,-7.480332851409912,-5.762001752853393,True
vanilla,mls,validation,13575,0,0,-8.274847030639648,-5.762001752853393,True
vanilla,mls,validation,37178,0,0,-9.099061012268066,-5.762001752853393,True
vanilla,mls,validation,40245,0,0,-10.209576606750488,-5.762001752853393,True
vanilla,mls,validation,26430,0,0,-9.933248519897461,-5.762001752853393,True
vanilla,mls,validation,14213,0,0,-11.257135391235352,-5.762001752853393,True
vanilla,mls,validation,43771,0,0,-10.157069206237793,-5.762001752853393,True
vanilla,mls,validation,24592,0,0,-9.214059829711914,-5.762001752853393,True
vanilla,mls,validation,35529,0,0,-11.066083908081055,-5.762001752853393,True
vanilla,mls,validation,32573,0,0,-9.326118469238281,-5.762001752853393,True
vanilla,mls,validation,45349,0,0,-9.457795143127441,-5.762001752853393,True
vanilla,mls,validation,24764,0,0,-10.389805793762207,-5.762001752853393,True
vanilla,mls,validation,39716,0,0,-5.216370582580566,-5.762001752853393,False
vanilla,mls,validation,28133,0,0,-10.802449226379395,-5.762001752853393,True
vanilla,mls,validation,44298,0,0,-9.932173728942871,-5.762001752853393,True
vanilla,mls,validation,22326,0,8,-7.718655586242676,-5.762001752853393,True
vanilla,mls,validation,5640,0,0,-8.453752517700195,-5.762001752853393,True
vanilla,mls,validation,32076,0,0,-10.419909477233887,-5.762001752853393,True
vanilla,mls,validation,11615,0,0,-7.223296642303467,-5.762001752853393,True
vanilla,mls,validation,25880,0,0,-5.247462272644043,-5.762001752853393,False
vanilla,mls,validation,20997,0,0,-3.5757839679718018,-5.762001752853393,False
vanilla,mls,validation,8023,0,0,-8.949699401855469,-5.762001752853393,True
vanilla,mls,validation,7573,0,0,-11.145956039428711,-5.762001752853393,True
vanilla,mls,validation,22308,0,0,-7.401644229888916,-5.762001752853393,True
vanilla,mls,validation,24587,0,0,-9.845784187316895,-5.762001752853393,True
vanilla,mls,validation,21647,0,0,-3.6834449768066406,-5.762001752853393,False
vanilla,mls,validation,12325,0,0,-8.477282524108887,-5.762001752853393,True
vanilla,mls,validation,26667,0,0,-9.655939102172852,-5.762001752853393,True
vanilla,mls,validation,36055,0,0,-8.186145782470703,-5.762001752853393,True
vanilla,mls,validation,40355,0,0,-8.692278861999512,-5.762001752853393,True
vanilla,mls,validation,47022,0,0,-7.465758800506592,-5.762001752853393,True
vanilla,mls,validation,15494,0,0,-9.57314682006836,-5.762001752853393,True
vanilla,mls,validation,23024,0,0,-10.607159614562988,-5.762001752853393,True
vanilla,mls,validation,14615,0,0,-9.210539817810059,-5.762001752853393,True
vanilla,mls,validation,4214,0,9,-6.2160186767578125,-5.762001752853393,True
vanilla,mls,validation,7360,0,0,-10.037247657775879,-5.762001752853393,True
vanilla,mls,validation,25571,0,0,-8.602774620056152,-5.762001752853393,True
vanilla,mls,validation,30487,0,0,-6.958766937255859,-5.762001752853393,True
vanilla,mls,validation,19503,0,0,-8.063729286193848,-5.762001752853393,True
vanilla,mls,validation,5457,0,0,-8.57021713256836,-5.762001752853393,True
vanilla,mls,validation,9221,0,0,-9.61329174041748,-5.762001752853393,True
vanilla,mls,validation,37432,0,0,-9.128331184387207,-5.762001752853393,True
vanilla,mls,validation,20910,0,0,-10.858370780944824,-5.762001752853393,True
vanilla,mls,validation,19332,0,0,-8.437277793884277,-5.762001752853393,True
vanilla,mls,validation,43750,0,8,-6.665736198425293,-5.762001752853393,True
vanilla,mls,validation,23659,0,0,-9.336471557617188,-5.762001752853393,True
vanilla,mls,validation,18839,0,0,-8.67342758178711,-5.762001752853393,True
vanilla,mls,validation,29783,0,0,-9.313713073730469,-5.762001752853393,True
vanilla,mls,validation,13490,0,0,-9.930207252502441,-5.762001752853393,True
vanilla,mls,validation,11107,0,0,-9.021415710449219,-5.762001752853393,True
vanilla,mls,validation,44624,0,2,-8.894855499267578,-5.762001752853393,True
vanilla,mls,validation,23891,0,0,-8.519113540649414,-5.762001752853393,True
vanilla,mls,validation,32484,0,0,-9.336136817932129,-5.762001752853393,True
vanilla,mls,validation,46362,0,0,-7.287873268127441,-5.762001752853393,True
vanilla,mls,validation,9859,0,0,-9.034852981567383,-5.762001752853393,True
vanilla,mls,validation,8185,0,0,-8.853439331054688,-5.762001752853393,True
vanilla,mls,validation,32718,0,0,-10.428194999694824,-5.762001752853393,True
vanilla,mls,validation,2895,0,0,-10.002218246459961,-5.762001752853393,True
vanilla,mls,validation,10804,0,0,-11.492108345031738,-5.762001752853393,True
vanilla,mls,validation,18624,0,0,-10.16723918914795,-5.762001752853393,True
vanilla,mls,validation,911,0,0,-8.147350311279297,-5.762001752853393,True
vanilla,mls,validation,38233,0,3,-4.4612298011779785,-5.762001752853393,False
vanilla,mls,validation,2932,0,0,-10.823266983032227,-5.762001752853393,True
vanilla,mls,validation,41038,0,0,-10.582459449768066,-5.762001752853393,True
vanilla,mls,validation,35873,0,0,-8.626047134399414,-5.762001752853393,True
vanilla,mls,validation,1601,0,0,-10.091838836669922,-5.762001752853393,True
vanilla,mls,validation,28456,0,0,-12.195642471313477,-5.762001752853393,True
vanilla,mls,validation,49641,0,0,-9.571487426757812,-5.762001752853393,True
vanilla,mls,validation,29286,0,0,-10.331747055053711,-5.762001752853393,True
vanilla,mls,validation,10867,0,0,-9.050822257995605,-5.762001752853393,True
vanilla,mls,validation,4765,0,0,-9.827594757080078,-5.762001752853393,True
vanilla,mls,validation,42972,0,0,-7.203588008880615,-5.762001752853393,True
vanilla,mls,validation,38320,0,0,-10.300765037536621,-5.762001752853393,True
vanilla,mls,validation,23797,0,0,-7.405437469482422,-5.762001752853393,True
vanilla,mls,validation,25581,0,0,-7.947539329528809,-5.762001752853393,True
vanilla,mls,validation,27710,0,0,-8.478355407714844,-5.762001752853393,True
vanilla,mls,validation,41677,0,0,-8.913558959960938,-5.762001752853393,True
vanilla,mls,validation,7347,0,0,-8.938759803771973,-5.762001752853393,True
vanilla,mls,validation,26088,0,0,-8.641571044921875,-5.762001752853393,True
vanilla,mls,validation,37066,0,0,-10.27423095703125,-5.762001752853393,True
vanilla,mls,validation,38154,0,0,-9.926963806152344,-5.762001752853393,True
vanilla,mls,validation,25251,0,0,-7.067054271697998,-5.762001752853393,True
vanilla,mls,validation,47991,0,0,-7.717914581298828,-5.762001752853393,True
vanilla,mls,validation,11661,0,0,-8.668886184692383,-5.762001752853393,True
vanilla,mls,validation,25969,0,0,-9.331670761108398,-5.762001752853393,True
vanilla,mls,validation,29341,0,0,-8.375323295593262,-5.762001752853393,True
vanilla,mls,validation,20710,0,0,-10.09240436553955,-5.762001752853393,True
vanilla,mls,validation,41882,0,0,-10.533974647521973,-5.762001752853393,True
vanilla,mls,validation,19395,0,0,-9.68814754486084,-5.762001752853393,True
vanilla,mls,validation,27007,0,0,-10.460824966430664,-5.762001752853393,True
vanilla,mls,validation,23371,0,3,-8.714521408081055,-5.762001752853393,True
vanilla,mls,validation,20105,0,0,-9.455239295959473,-5.762001752853393,True
vanilla,mls,validation,10516,0,0,-9.831897735595703,-5.762001752853393,True
vanilla,mls,validation,33416,0,0,-8.788619995117188,-5.762001752853393,True
vanilla,mls,validation,19527,0,0,-10.407870292663574,-5.762001752853393,True
vanilla,mls,validation,18249,0,0,-9.517186164855957,-5.762001752853393,True
vanilla,mls,validation,199,0,0,-9.73217487335205,-5.762001752853393,True
vanilla,mls,validation,32761,0,0,-10.484892845153809,-5.762001752853393,True
vanilla,mls,validation,11056,0,0,-8.944086074829102,-5.762001752853393,True
vanilla,mls,validation,17509,0,0,-10.11685848236084,-5.762001752853393,True
vanilla,mls,validation,27645,0,0,-9.326109886169434,-5.762001752853393,True
vanilla,mls,validation,9236,0,0,-9.076887130737305,-5.762001752853393,True
vanilla,mls,validation,8376,0,0,-5.0757012367248535,-5.762001752853393,False
vanilla,mls,validation,10326,0,0,-9.2303466796875,-5.762001752853393,True
vanilla,mls,validation,49992,0,0,-9.953116416931152,-5.762001752853393,True
vanilla,mls,validation,37504,0,0,-9.52853775024414,-5.762001752853393,True
vanilla,mls,validation,22418,0,0,-10.707270622253418,-5.762001752853393,True
vanilla,mls,validation,29153,0,8,-3.3117737770080566,-5.762001752853393,False
vanilla,mls,validation,3051,0,0,-9.446324348449707,-5.762001752853393,True
vanilla,mls,validation,42589,0,0,-9.427855491638184,-5.762001752853393,True
vanilla,mls,validation,35744,0,0,-9.801613807678223,-5.762001752853393,True
vanilla,mls,validation,36018,0,0,-8.97977066040039,-5.762001752853393,True
vanilla,mls,validation,4689,0,0,-10.231973648071289,-5.762001752853393,True
vanilla,mls,validation,10954,0,0,-9.999653816223145,-5.762001752853393,True
vanilla,mls,validation,23157,0,0,-10.777017593383789,-5.762001752853393,True
vanilla,mls,validation,9058,0,0,-7.436589241027832,-5.762001752853393,True
vanilla,mls,validation,16825,0,0,-9.514501571655273,-5.762001752853393,True
vanilla,mls,validation,15851,0,0,-9.725444793701172,-5.762001752853393,True
vanilla,mls,validation,1249,0,0,-9.065845489501953,-5.762001752853393,True
vanilla,mls,validation,46054,0,0,-8.98973560333252,-5.762001752853393,True
vanilla,mls,validation,29307,0,0,-9.431438446044922,-5.762001752853393,True
vanilla,mls,validation,46343,0,0,-6.975136756896973,-5.762001752853393,True
vanilla,mls,validation,27623,0,9,-5.943951606750488,-5.762001752853393,True
vanilla,mls,validation,33683,0,0,-10.820512771606445,-5.762001752853393,True
vanilla,mls,validation,43700,0,0,-7.810231685638428,-5.762001752853393,True
vanilla,mls,validation,44498,0,0,-8.90782642364502,-5.762001752853393,True
vanilla,mls,validation,45123,0,0,-9.336540222167969,-5.762001752853393,True
vanilla,mls,validation,34722,0,0,-7.594402313232422,-5.762001752853393,True
vanilla,mls,validation,8313,0,0,-8.35717487335205,-5.762001752853393,True
vanilla,mls,validation,49006,0,0,-9.384772300720215,-5.762001752853393,True
vanilla,mls,validation,44930,0,0,-9.77249526977539,-5.762001752853393,True
vanilla,mls,validation,8044,0,0,-8.423280715942383,-5.762001752853393,True
vanilla,mls,validation,13861,0,0,-9.853017807006836,-5.762001752853393,True
