model,score,group,unknown_class,n,acceptance,rejection
vanilla,mls,near,bus,100,0.83,0.17
vanilla,mls,near,camel,100,0.62,0.38
vanilla,mls,near,fox,100,0.69,0.31
vanilla,mls,near,leopard,100,0.73,0.27
vanilla,mls,near,motorcycle,100,0.37,0.63
vanilla,mls,near,pickup_truck,100,0.9,0.1
vanilla,mls,near,tractor,100,0.54,0.46
vanilla,mls,near,wolf,100,0.88,0.12
vanilla,msp,near,bus,100,0.9,0.1
vanilla,msp,near,camel,100,0.68,0.32
vanilla,msp,near,fox,100,0.7,0.3
vanilla,msp,near,leopard,100,0.79,0.21
vanilla,msp,near,motorcycle,100,0.53,0.47
vanilla,msp,near,pickup_truck,100,0.86,0.14
vanilla,msp,near,tractor,100,0.68,0.32
vanilla,msp,near,wolf,100,0.83,0.17
vanilla,energy,near,bus,100,0.83,0.17
vanilla,energy,near,camel,100,0.6,0.4
vanilla,energy,near,fox,100,0.68,0.32
vanilla,energy,near,leopard,100,0.75,0.25
vanilla,energy,near,motorcycle,100,0.38,0.62
vanilla,energy,near,pickup_truck,100,0.91,0.09
vanilla,energy,near,tractor,100,0.52,0.48
vanilla,energy,near,wolf,100,0.88,0.12
vanilla,mahalanobis,near,bus,100,0.88,0.12
vanilla,mahalanobis,near,camel,100,0.68,0.32
vanilla,mahalanobis,near,fox,100,0.74,0.26
vanilla,mahalanobis,near,leopard,100,0.79,0.21
vanilla,mahalanobis,near,motorcycle,100,0.46,0.54
vanilla,mahalanobis,near,pickup_truck,100,0.87,0.13
vanilla,mahalanobis,near,tractor,100,0.65,0.35
vanilla,mahalanobis,near,wolf,100,0.84,0.16
vanilla,mls,far,bottle,100,0.31,0.69
vanilla,mls,far,bowl,100,0.56,0.44
vanilla,mls,far,chair,100,0.41,0.59
vanilla,mls,far,clock,100,0.39,0.61
vanilla,mls,far,keyboard,100,0.37,0.63
vanilla,mls,far,mushroom,100,0.56,0.44
vanilla,mls,far,sunflower,100,0.46,0.54
vanilla,mls,far,wardrobe,100,0.6,0.4
vanilla,msp,far,bottle,100,0.5,0.5
vanilla,msp,far,bowl,100,0.63,0.37
vanilla,msp,far,chair,100,0.59,0.41
vanilla,msp,far,clock,100,0.59,0.41
vanilla,msp,far,keyboard,100,0.59,0.41
vanilla,msp,far,mushroom,100,0.67,0.33
vanilla,msp,far,sunflower,100,0.57,0.43
vanilla,msp,far,wardrobe,100,0.65,0.35
vanilla,energy,far,bottle,100,0.33,0.67
vanilla,energy,far,bowl,100,0.54,0.46
vanilla,energy,far,chair,100,0.41,0.59
vanilla,energy,far,clock,100,0.38,0.62
vanilla,energy,far,keyboard,100,0.36,0.64
vanilla,energy,far,mushroom,100,0.55,0.45
vanilla,energy,far,sunflower,100,0.46,0.54
vanilla,energy,far,wardrobe,100,0.6,0.4
vanilla,mahalanobis,far,bottle,100,0.47,0.53
vanilla,mahalanobis,far,bowl,100,0.51,0.49
vanilla,mahalanobis,far,chair,100,0.53,0.47
vanilla,mahalanobis,far,clock,100,0.47,0.53
vanilla,mahalanobis,far,keyboard,100,0.47,0.53
vanilla,mahalanobis,far,mushroom,100,0.61,0.39
vanilla,mahalanobis,far,sunflower,100,0.52,0.48
vanilla,mahalanobis,far,wardrobe,100,0.57,0.43
gcsc,mls,near,bus,100,0.86,0.14
gcsc,mls,near,camel,100,0.53,0.47
gcsc,mls,near,fox,100,0.69,0.31
gcsc,mls,near,leopard,100,0.63,0.37
gcsc,mls,near,motorcycle,100,0.26,0.74
gcsc,mls,near,pickup_truck,100,0.91,0.09
gcsc,mls,near,tractor,100,0.48,0.52
gcsc,mls,near,wolf,100,0.78,0.22
gcsc,mls,far,bottle,100,0.43,0.57
gcsc,mls,far,bowl,100,0.44,0.56
gcsc,mls,far,chair,100,0.4,0.6
gcsc,mls,far,clock,100,0.47,0.53
gcsc,mls,far,keyboard,100,0.33,0.67
gcsc,mls,far,mushroom,100,0.44,0.56
gcsc,mls,far,sunflower,100,0.33,0.67
gcsc,mls,far,wardrobe,100,0.54,0.46
proser,mls,near,bus,100,0.88,0.12
proser,mls,near,camel,100,0.58,0.42
proser,mls,near,fox,100,0.72,0.28
proser,mls,near,leopard,100,0.75,0.25
proser,mls,near,motorcycle,100,0.41,0.59
proser,mls,near,pickup_truck,100,0.96,0.04
proser,mls,near,tractor,100,0.69,0.31
proser,mls,near,wolf,100,0.76,0.24
proser,placeholder,near,bus,100,0.89,0.11
proser,placeholder,near,camel,100,0.63,0.37
proser,placeholder,near,fox,100,0.74,0.26
proser,placeholder,near,leopard,100,0.74,0.26
proser,placeholder,near,motorcycle,100,0.54,0.46
proser,placeholder,near,pickup_truck,100,0.94,0.06
proser,placeholder,near,tractor,100,0.72,0.28
proser,placeholder,near,wolf,100,0.78,0.22
proser,mls,far,bottle,100,0.49,0.51
proser,mls,far,bowl,100,0.6,0.4
proser,mls,far,chair,100,0.64,0.36
proser,mls,far,clock,100,0.49,0.51
proser,mls,far,keyboard,100,0.49,0.51
proser,mls,far,mushroom,100,0.6,0.4
proser,mls,far,sunflower,100,0.53,0.47
proser,mls,far,wardrobe,100,0.66,0.34
proser,placeholder,far,bottle,100,0.59,0.41
proser,placeholder,far,bowl,100,0.58,0.42
proser,placeholder,far,chair,100,0.72,0.28
proser,placeholder,far,clock,100,0.49,0.51
proser,placeholder,far,keyboard,100,0.49,0.51
proser,placeholder,far,mushroom,100,0.66,0.34
proser,placeholder,far,sunflower,100,0.62,0.38
proser,placeholder,far,wardrobe,100,0.66,0.34
