group,index,unknown_class,predicted_known_class,score,threshold,selected_for_figure,semantic_interpretation
near,5201,bus,truck,-12.68542194366455,-5.762001752853393,True,Review image: plausible confusion or surprising failure; explain why.
near,7658,pickup_truck,automobile,-12.006089210510254,-5.762001752853393,True,Review image: plausible confusion or surprising failure; explain why.
near,4173,bus,truck,-11.41422176361084,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,7133,bus,truck,-11.089923858642578,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,959,fox,dog,-11.00361156463623,-5.762001752853393,True,Review image: plausible confusion or surprising failure; explain why.
near,1662,bus,truck,-10.989714622497559,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,9187,leopard,cat,-10.988873481750488,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,9704,tractor,truck,-10.977002143859863,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,9081,pickup_truck,automobile,-10.893425941467285,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,1572,camel,deer,-10.84066390991211,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,720,wolf,dog,-10.726238250732422,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,9388,pickup_truck,automobile,-10.72502613067627,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,5184,bus,truck,-10.657999992370605,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,1985,bus,automobile,-10.626763343811035,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,4296,bus,truck,-10.610333442687988,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,7225,fox,cat,-10.510960578918457,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,6418,camel,deer,-10.48939323425293,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,3026,bus,truck,-10.459484100341797,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,7389,pickup_truck,automobile,-10.457159996032715,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,8731,fox,cat,-10.431225776672363,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,7125,wolf,cat,-10.426033020019531,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,1260,tractor,truck,-10.380050659179688,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,6339,bus,truck,-10.365911483764648,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,3197,bus,truck,-10.36556339263916,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,766,bus,truck,-10.363452911376953,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,351,fox,cat,-10.333917617797852,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,5317,pickup_truck,automobile,-10.320292472839355,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,3104,leopard,cat,-10.299159049987793,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,9842,fox,deer,-10.288646697998047,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,4870,pickup_truck,automobile,-10.279945373535156,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,8126,bus,automobile,-10.259084701538086,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,1489,bus,truck,-10.258011817932129,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,8715,fox,cat,-10.246611595153809,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,6163,fox,deer,-10.241267204284668,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,5399,leopard,cat,-10.236083030700684,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,1478,bus,truck,-10.224762916564941,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,1345,wolf,cat,-10.21623706817627,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,8713,wolf,dog,-10.168594360351562,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,4588,pickup_truck,automobile,-10.166230201721191,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,7980,wolf,dog,-10.158846855163574,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,4506,pickup_truck,automobile,-10.150518417358398,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,353,pickup_truck,automobile,-10.029627799987793,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,5078,wolf,dog,-10.02784252166748,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,1445,bus,truck,-10.02193546295166,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,94,bus,truck,-10.020541191101074,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,156,pickup_truck,truck,-10.013830184936523,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,712,wolf,dog,-10.005687713623047,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,897,wolf,cat,-9.997895240783691,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,3376,motorcycle,automobile,-9.993500709533691,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,7812,bus,truck,-9.987165451049805,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,193,bus,truck,-9.966170310974121,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,5285,camel,dog,-9.93459701538086,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,4104,bus,airplane,-9.921003341674805,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,796,pickup_truck,truck,-9.91923999786377,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,3755,bus,truck,-9.917068481445312,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,3538,wolf,dog,-9.911526679992676,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,2219,wolf,dog,-9.8876953125,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,6447,wolf,cat,-9.879308700561523,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,809,wolf,dog,-9.858760833740234,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,2719,bus,truck,-9.85820198059082,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,8655,bus,truck,-9.836481094360352,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,9261,leopard,frog,-9.811473846435547,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,9453,fox,cat,-9.80570125579834,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,6010,wolf,deer,-9.801701545715332,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
near,4515,pickup_truck,automobile,-9.788284301757812,-5.762001752853393,False,Review image: plausible confusion or surprising failure; explain why.
